REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
CABLE & WIRELESS LIMITED|Europe|Y|5|2.7|2,500,000|0|> 95%
CAIXA GERAL DE DEPOSITOS S.A.|Europe||1|0.3|2,500,000|0|> 95%
CALIFORNIA RESOURCES CORPORATION|Americas|Y|3|1.3|2,500,000|0|25-75%
CALPINE CORPORATION|Americas|Y|7|5.3|7,500,000|2|< 5%
CAMPBELL SOUP COMPANY|Americas|Y|10|8.7|12,500,000|3|< 5%
CANADIAN NATIONAL RAILWAY COMPANY|Americas||0|0.0|2,500,000|0|< 5%
CANADIAN NATURAL RESOURCES LIMITED|Americas|Y|10|6.7|7,500,000|2|< 5%
CAPGEMINI|Europe||5|2.0|2,500,000|0|> 95%
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|Americas|Y|9|3.7|2,500,000|0|< 5%
CAPITAL ONE FINANCIAL CORPORATION|Americas|Y|3|1.0|2,500,000|0|< 5%
CAPITALAND LIMITED|Asia Ex-Japan|Y|6|4.0|2,500,000|0|> 95%
CARDINAL HEALTH, INC.|Americas|Y|9|7.7|12,500,000|2|< 5%
CARE UK HEALTH & SOCIAL CARE PLC|Europe|Y|4|2.7|2,500,000|0|> 95%
CARLSBERG BREWERIES A/S|Europe|Y|8|5.0|5,000,000|1|> 95%
CARNIVAL CORPORATION|Americas|Y|9|5.3|2,500,000|1|< 5%
CARREFOUR|Europe|Y|11|9.0|20,000,000|6|> 95%
CASINO GUICHARD-PERRACHON|Europe|Y|10|9.0|50,000,000|13|> 95%
CATERPILLAR FINANCIAL SERVICES CORPORATION|Americas||3|2.0|2,500,000|0|< 5%
CATERPILLAR INC.|Americas|Y|10|8.7|12,500,000|2|< 5%
CBS CORPORATION|Americas|Y|11|8.0|10,000,000|2|< 5%
CCO HOLDINGS, LLC|Americas|Y|7|5.3|5,000,000|1|< 5%
CECONOMY AG|Europe|Y|9|5.3|5,000,000|1|> 95%
CELLNEX TELECOM, S.A.|Europe|Y|5|2.7|2,500,000|0|> 95%
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|Americas|Y|3|1.3|2,500,000|0|> 95%
CENTRICA PLC|Europe|Y|11|7.7|12,500,000|2|> 95%
CENTURYLINK, INC.|Americas|Y|12|9.3|25,000,000|7|< 5%
CERVED GROUP S.P.A.|Europe|Y|3|1.0|2,500,000|0|> 95%
CHESAPEAKE ENERGY CORPORATION|Americas|Y|9|8.0|12,500,000|5|< 5%
CHEVRON CORPORATION|Americas||4|1.7|2,500,000|0|< 5%
CHINA CONSTRUCTION BANK CORPORATION|Asia Ex-Japan||0|0.0|2,500,000|0|> 95%
CHINA DEVELOPMENT BANK|Asia Ex-Japan|Y|7|5.3|10,000,000|1|> 95%
CHORUS LIMITED|Australia NZ|Y|1|0.3|2,500,000|0|> 95%
CHUBB INA HOLDINGS INC.|Americas||3|1.0|2,500,000|0|< 5%
CHUBB LIMITED|Americas|Y|4|1.7|2,500,000|0|< 5%
CIGNA CORPORATION|Americas|Y|4|1.3|2,500,000|0|< 5%
CISCO SYSTEMS, INC.|Americas|Y|6|2.3|2,500,000|0|< 5%
CIT GROUP INC.|Americas|Y|8|5.0|5,000,000|1|< 5%
CITIGROUP INC.|Americas|Y|8|6.0|15,000,000|2|< 5%
CITY OF CHICAGO|Americas|Y|0|0.0|2,500,000|0|> 95%
CLARIANT AG|Europe|Y|6|3.3|5,000,000|1|> 95%
CMA CGM|Europe|Y|10|8.3|10,000,000|3|> 95%
CNH INDUSTRIAL N.V.|Europe|Y|11|8.0|10,000,000|4|> 95%
CNOOC LIMITED|Asia Ex-Japan|Y|4|2.0|2,500,000|0|> 95%
COLGATE-PALMOLIVE COMPANY|Americas||1|0.3|2,500,000|0|< 5%
COMCAST CORPORATION|Americas|Y|8|6.3|10,000,000|1|< 5%
COMMERZBANK AKTIENGESELLSCHAFT|Europe|Y|11|9.7|50,000,000|6|> 95%
COMMONWEALTH BANK OF AUSTRALIA|Australia NZ|Y|10|7.3|25,000,000|3|> 95%
COMMONWEALTH OF AUSTRALIA|Australia NZ|Y|10|5.7|15,000,000|1|> 95%
COMMONWEALTH OF PENNSYLVANIA|Americas|Y|2|0.7|2,500,000|0|> 95%
COMMUNITY HEALTH SYSTEMS, INC.|Americas|Y|10|5.3|10,000,000|3|< 5%
COMPAGNIE DE SAINT-GOBAIN|Europe|Y|10|7.3|12,500,000|3|> 95%
COMPAGNIE FINANCIERE MICHELIN SCMA|Europe|Y|8|5.7|5,000,000|1|> 95%
COMPASS GROUP PLC|Europe|Y|7|3.0|2,500,000|0|> 95%
CONAGRA BRANDS, INC.|Americas|Y|10|6.7|10,000,000|2|< 5%
CONOCOPHILLIPS|Americas|Y|11|6.7|7,500,000|1|5-25%
CONSTELLATION BRANDS, INC.|Americas|Y|3|1.3|2,500,000|0|< 5%
CONSTELLIUM N.V.|Europe|Y|6|3.3|2,500,000|0|> 95%
CONTINENTAL AKTIENGESELLSCHAFT|Europe|Y|10|6.0|7,500,000|1|> 95%
CONVATEC HEALTHCARE E S.A.|Europe|Y|6|3.0|2,500,000|0|> 95%
COOEPERATIEVE RABOBANK U.A.|Europe|Y|8|6.3|5,000,000|1|> 95%
COOPER TIRE & RUBBER COMPANY|Americas|Y|8|6.0|5,000,000|1|< 5%
COX COMMUNICATIONS, INC.|Americas|Y|9|5.0|5,000,000|1|< 5%
CREDIT AGRICOLE SA|Europe|Y|11|9.0|20,000,000|6|> 95%
CREDIT SUISSE GROUP AG|Europe|Y|10|6.7|25,000,000|3|> 95%
CRITERIA CAIXA, S.A., SOCIEDAD UNIPERSONAL|Europe||1|0.3|2,500,000|0|> 95%
CROWN RESORTS LIMITED|Australia NZ|Y|1|0.3|2,500,000|0|> 95%
CSC HOLDINGS, LLC|Americas|Y|11|7.0|5,000,000|1|< 5%
CSR LIMITED|Australia NZ|Y|1|0.3|2,500,000|0|> 95%
CSX CORPORATION|Americas|Y|9|5.0|7,500,000|1|< 5%
CVS HEALTH CORPORATION|Americas|Y|10|7.3|25,000,000|3|< 5%
CZECH REPUBLIC|Europe|Y|1|0.3|2,500,000|0|> 95%
D.R. HORTON, INC.|Americas|Y|8|5.0|5,000,000|1|< 5%
DAIMLER AG|Europe|Y|13|10.3|50,000,000|6|> 95%
DANONE|Europe|Y|9|5.0|5,000,000|1|> 95%
DANSKE BANK A/S|Europe|Y|10|6.7|7,500,000|2|> 95%
DARDEN RESTAURANTS, INC.|Americas|Y|10|7.0|10,000,000|1|< 5%
DAVITA INC.|Americas|Y|4|1.7|2,500,000|0|< 5%
DBS BANK LTD.|Asia Ex-Japan|Y|6|3.3|2,500,000|0|> 95%
DDR CORP.|Americas||1|0.7|2,500,000|0|< 5%
DEAN FOODS COMPANY|Americas|Y|8|5.7|5,000,000|2|< 5%
DEERE & COMPANY|Americas|Y|9|7.0|10,000,000|2|5-25%
DELL INC.|Americas|Y|10|7.3|10,000,000|2|< 5%
DELTA AIR LINES, INC.|Americas|Y|5|3.0|2,500,000|0|< 5%
DELUXE CORPORATION|Americas|Y|1|0.3|2,500,000|0|< 5%
DEUTSCHE BANK AKTIENGESELLSCHAFT|Europe|Y|11|10.3|75,000,000|11|> 95%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|Europe|Y|6|4.0|7,500,000|1|> 95%
DEUTSCHE POST AG|Europe|Y|4|1.7|2,500,000|0|> 95%
DEUTSCHE TELEKOM AG|Europe|Y|12|6.7|10,000,000|2|> 95%
DEVON ENERGY CORPORATION|Americas|Y|11|7.3|10,000,000|2|< 5%
DIAGEO PLC|Europe|Y|10|6.3|10,000,000|2|> 95%
DIAMOND OFFSHORE DRILLING, INC.|Americas|Y|7|5.0|7,500,000|2|< 5%
DILLARD'S, INC.|Americas|Y|5|2.3|2,500,000|0|< 5%
DISH DBS CORPORATION|Americas|Y|13|10.0|50,000,000|8|< 5%
DIXONS RETAIL GROUP LIMITED|Europe||3|1.0|2,500,000|0|> 95%
DMG MORI CO., LTD.|Japan||0|0.0|2,500,000|0|> 95%
DNB BANK ASA|Europe||3|1.0|2,500,000|0|> 95%
DOMINION ENERGY, INC.|Americas|Y|7|2.3|2,500,000|0|< 5%
DOMTAR CORPORATION|Americas|Y|9|6.0|7,500,000|1|< 5%
DP WORLD LIMITED|Europe|Y|1|0.3|2,500,000|0|> 95%
DRY MIX SOLUTIONS INVESTISSEMENTS|Europe|Y|2|0.7|2,500,000|0|> 95%
DUBAI|Europe|Y|3|1.7|2,500,000|0|> 95%
DUKE ENERGY CAROLINAS, LLC|Americas|Y|7|2.7|2,500,000|0|< 5%
DUKE REALTY LIMITED PARTNERSHIP|Americas||2|0.7|2,500,000|0|< 5%
DXC TECHNOLOGY COMPANY|Americas|Y|10|6.0|5,000,000|1|< 5%
E. I. DU PONT DE NEMOURS AND COMPANY|Americas|Y|9|6.3|5,000,000|1|< 5%
E.ON SE|Europe|Y|9|5.0|2,500,000|1|> 95%
EASTMAN CHEMICAL COMPANY|Americas|Y|9|6.0|7,500,000|1|< 5%
EATON CORPORATION|Americas||1|0.3|2,500,000|0|< 5%
EDP - ENERGIAS DE PORTUGAL, S.A.|Europe|Y|9|4.7|2,500,000|1|> 95%
EDP FINANCE B.V.|Europe|Y|8|5.0|2,500,000|0|> 95%
EILEME 2 AB (PUBL)|Europe|Y|2|1.0|2,500,000|0|> 95%
ELECTRICITE DE FRANCE|Europe|Y|12|8.7|20,000,000|2|> 95%
ELIS|Europe|Y|5|1.7|2,500,000|0|> 95%
EMBARQ CORPORATION|Americas|Y|0|0.0|2,500,000|0|< 5%
ENBRIDGE INC.|Americas|Y|11|9.3|12,500,000|2|< 5%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|Europe|Y|5|2.3|2,500,000|0|> 95%
ENCANA CORPORATION|Americas|Y|10|5.7|7,500,000|1|< 5%
ENDESA, S.A.|Europe|Y|2|0.7|2,500,000|0|> 95%
ENEL S.P.A.|Europe|Y|10|8.3|22,500,000|4|> 95%
ENERGY TRANSFER EQUITY, L.P.|Americas|Y|4|1.3|2,500,000|0|< 5%
ENERGY TRANSFER PARTNERS, L.P.|Americas|Y|10|5.7|5,000,000|2|< 5%
ENGIE|Europe|Y|8|4.7|5,000,000|1|> 95%
ENI S.P.A.|Europe|Y|9|6.0|10,000,000|2|> 95%
ENTERPRISE PRODUCTS OPERATING LLC|Americas||2|0.7|2,500,000|0|< 5%
EQUINOR ASA|Europe||9|4.3|5,000,000|1|> 95%
ERP OPERATING LIMITED PARTNERSHIP|Americas|Y|8|4.3|5,000,000|0|< 5%
ERSTE GROUP BANK AG|Europe||2|0.7|2,500,000|0|> 95%
ESKOM HOLDINGS SOC LIMITED|Europe|Y|4|2.0|2,500,000|0|> 95%
EVONIK DEGUSSA GMBH|Europe|Y|2|0.7|2,500,000|0|> 95%
EVRAZ GROUP S.A.|Europe|Y|1|0.3|2,500,000|0|> 95%
EXELON CORPORATION|Americas|Y|7|2.7|2,500,000|0|< 5%
EXELON GENERATION COMPANY, LLC|Americas||4|2.0|2,500,000|0|< 5%
EXPEDIA GROUP, INC.|Americas||9|7.3|7,500,000|2|< 5%
EXPERIAN FINANCE PLC|Europe|Y|7|3.0|2,500,000|1|> 95%
EXPORT-IMPORT BANK OF INDIA|Asia Ex-Japan|Y|5|3.0|2,500,000|0|> 95%
FCE BANK PLC|Europe|Y|1|0.3|2,500,000|0|> 95%
FEDERAL REPUBLIC OF GERMANY|Europe|Y|8|3.7|10,000,000|0|> 95%
FEDERATIVE REPUBLIC OF BRAZIL|Americas|Y|13|11.7|800,000,000|104|> 95%
FEDEX CORPORATION|Americas||2|0.7|2,500,000|0|< 5%
FIAT CHRYSLER AUTOMOBILES N.V.|Europe|Y|10|9.0|20,000,000|5|> 95%
FINANCIERE QUICK|Europe|Y|3|1.0|2,500,000|0|> 95%
FIRST DATA CORPORATION|Americas|Y|12|6.7|7,500,000|2|< 5%
FIRSTENERGY CORP.|Americas|Y|7|3.7|5,000,000|1|< 5%
FIS DATA SYSTEMS INC.|Americas||1|0.3|2,500,000|0|< 5%
FORD MOTOR COMPANY|Americas|Y|10|8.7|50,000,000|13|< 5%
FORD MOTOR CREDIT COMPANY LLC|Americas||9|6.3|10,000,000|2|< 5%
FORTUM OYJ|Europe|Y|8|4.7|7,500,000|1|> 95%
FOSTER'S GROUP PTY LTD|Australia NZ|Y|1|0.3|2,500,000|0|> 95%
FREEPORT-MCMORAN INC.|Americas|Y|11|10.0|25,000,000|8|< 5%
FRENCH REPUBLIC|Europe|Y|9|5.0|20,000,000|1|> 95%
FRESENIUS SE & CO. KGAA|Europe|Y|2|0.7|2,500,000|0|> 95%
FRONERI INTERNATIONAL PLC|Europe||3|1.0|2,500,000|0|> 95%
FRONTIER COMMUNICATIONS CORPORATION|Americas|Y|10|7.7|15,000,000|6|< 5%
FUJITSU LIMITED|Japan|Y|3|1.7|2,500,000|0|> 95%
GALAPAGOS HOLDING S.A.|Europe|Y|8|5.3|2,500,000|1|> 95%
GALP ENERGIA, SGPS, S.A.|Europe|Y|9|5.3|5,000,000|1|> 95%
GARFUNKELUX HOLDCO 2 S.A.|Europe|Y|7|5.0|5,000,000|2|> 95%
GATX CORPORATION|Americas|Y|2|0.7|2,500,000|0|< 5%
GAZPROM PUBLIC JOINT STOCK COMPANY|Europe|Y|9|5.7|7,500,000|1|> 95%
GECINA|Europe|Y|3|1.0|2,500,000|0|> 95%
GENERAL ELECTRIC COMPANY|Americas|Y|12|9.7|50,000,000|4|< 5%
GENERAL MILLS, INC.|Americas|Y|9|6.3|7,500,000|1|< 5%
GENERAL MOTORS COMPANY|Americas|Y|10|8.3|22,500,000|6|< 5%
GENWORTH HOLDINGS, INC.|Americas|Y|8|5.3|5,000,000|2|< 5%
GLAXOSMITHKLINE PLC|Europe|Y|4|3.0|2,500,000|0|> 95%
GLENCORE INTERNATIONAL AG|Europe|Y|11|10.3|50,000,000|10|> 95%
GPT RE LIMITED AS RESPONSIBLE ENTITY OF THE GENERAL PROPERTY TRUST|Australia NZ|Y|2|1.0|2,500,000|0|> 95%
GROHE HOLDING GMBH|Europe|Y|2|0.7|2,500,000|0|> 95%
GS CALTEX CORPORATION|Asia Ex-Japan|Y|3|1.3|2,500,000|0|> 95%
HALLIBURTON COMPANY|Americas|Y|10|6.7|7,500,000|1|< 5%
HAMMERSON PLC|Europe|Y|5|1.7|2,500,000|0|> 95%
HANKYU HANSHIN HOLDINGS, INC.|Japan|Y|2|1.0|2,500,000|0|> 95%
HANNOVER RUECK SE|Europe|Y|11|7.0|7,500,000|1|> 95%
HANSON LIMITED|Europe||1|0.3|2,500,000|0|> 95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|Europe|Y|5|2.7|2,500,000|1|> 95%
HASBRO, INC.|Americas|Y|2|0.7|2,500,000|0|< 5%
HAVAS|Europe|Y|1|0.3|2,500,000|0|> 95%
HCA INC.|Americas|Y|11|8.7|10,000,000|3|< 5%
HCP, INC.|Americas||1|0.3|2,500,000|0|< 5%
HD SUPPLY, INC.|Americas|Y|2|0.7|2,500,000|0|< 5%
HEATHROW FUNDING LIMITED|Europe||5|2.7|5,000,000|0|> 95%
HEIDELBERGCEMENT AG|Europe|Y|10|7.7|12,500,000|4|> 95%
HEINEKEN N.V.|Europe|Y|8|5.3|5,000,000|1|> 95%
HELLENIC REPUBLIC|Europe|Y|11|6.7|7,500,000|1|> 95%
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|Europe|Y|8|3.3|2,500,000|0|> 95%
HEMA BONDCO I B.V.|Europe|Y|7|6.3|5,000,000|2|> 95%
HENKEL AG & CO. KGAA|Europe|Y|6|2.7|2,500,000|0|> 95%
HESS CORPORATION|Americas|Y|11|8.0|10,000,000|2|< 5%
HITACHI, LTD.|Japan|Y|5|2.3|2,500,000|0|> 95%
HOCHTIEF AKTIENGESELLSCHAFT|Europe|Y|6|2.0|2,500,000|0|> 95%
HONDA MOTOR CO., LTD.|Japan|Y|5|2.3|2,500,000|0|> 95%
HONEYWELL INTERNATIONAL INC.|Americas|Y|9|5.3|10,000,000|1|< 5%
HONG KONG SPECIAL ADMINISTRATIVE REGION|Asia Ex-Japan|Y|0|0.0|2,500,000|0|> 95%
HOST HOTELS & RESORTS, L.P.|Americas|Y|7|3.3|5,000,000|1|< 5%
HP INC.|Americas|Y|10|8.3|15,000,000|2|5-25%
HSBC BANK PLC|Europe|Y|9|6.7|17,500,000|2|> 95%
HSBC HOLDINGS PLC|Europe|Y|10|8.3|15,000,000|4|> 95%
HUMANA INC.|Americas||0|0.0|2,500,000|0|< 5%
HUNGARY|Europe|Y|3|1.0|2,500,000|0|> 95%
HUNTSMAN INTERNATIONAL LLC|Americas|Y|3|1.7|2,500,000|0|< 5%
HUTCHISON WHAMPOA LIMITED|Asia Ex-Japan|Y|7|3.7|2,500,000|0|> 95%
HYUNDAI MOTOR COMPANY|Asia Ex-Japan|Y|6|3.3|5,000,000|1|> 95%
IBERDROLA, S.A.|Europe|Y|11|7.0|17,500,000|2|> 95%
ICELAND BONDCO PLC|Europe|Y|7|4.3|2,500,000|1|> 95%
