REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
ITRAXX EUROPE CROSSOVER SERIES 26|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 27|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 28|Untranched|0|0.0|50,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|1|0.3|100,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|2|0.7|125,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|2|0.7|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|2|0.7|175,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|1|0.3|100,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 34|Untranched|5|4.0|275,000,000|6
ITRAXX EUROPE CROSSOVER SERIES 35|Untranched|10|6.3|1,650,000,000|63
ITRAXX EUROPE CROSSOVER SERIES 36|Untranched|10|10.0|6,700,000,000|386
ITRAXX EUROPE SENIOR FINANCIALS SERIES 26|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 27|Untranched|0|0.0|100,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 28|Untranched|0|0.0|75,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 29|Untranched|1|0.3|75,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|0|0.0|200,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|0|0.0|175,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|0|0.0|100,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|1|0.3|200,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 34|Untranched|2|1.3|150,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 35|Untranched|9|4.0|850,000,000|10
ITRAXX EUROPE SENIOR FINANCIALS SERIES 36|Untranched|9|5.3|2,850,000,000|63
ITRAXX EUROPE SERIES 26|Untranched|2|1.0|125,000,000|1
ITRAXX EUROPE SERIES 27|Untranched|3|1.3|300,000,000|1
ITRAXX EUROPE SERIES 28|Tranched|5|3.0|50,000,000|1
ITRAXX EUROPE SERIES 28|Untranched|2|1.0|500,000,000|2
ITRAXX EUROPE SERIES 29|Untranched|0|0.0|325,000,000|1
ITRAXX EUROPE SERIES 30|Tranched|4|2.7|75,000,000|1
ITRAXX EUROPE SERIES 30|Untranched|4|1.3|825,000,000|4
ITRAXX EUROPE SERIES 31|Untranched|0|0.0|525,000,000|1
ITRAXX EUROPE SERIES 32|Tranched|4|4.0|175,000,000|3
ITRAXX EUROPE SERIES 32|Untranched|4|1.7|1,600,000,000|8
ITRAXX EUROPE SERIES 33|Untranched|6|4.3|600,000,000|3
ITRAXX EUROPE SERIES 34|Tranched|4|3.3|150,000,000|2
ITRAXX EUROPE SERIES 34|Untranched|6|4.3|1,200,000,000|9
ITRAXX EUROPE SERIES 35|Untranched|11|9.0|7,825,000,000|59
ITRAXX EUROPE SERIES 36|Tranched|5|5.0|300,000,000|3
ITRAXX EUROPE SERIES 36|Untranched|10|9.3|25,250,000,000|372
ITRAXX EUROPE SUB FINANCIALS SERIES 34|Untranched|0|0.0|50,000,000|0
ITRAXX EUROPE SUB FINANCIALS SERIES 35|Untranched|5|2.0|175,000,000|5
ITRAXX EUROPE SUB FINANCIALS SERIES 36|Untranched|6|4.0|350,000,000|14
ITRAXX JAPAN SERIES 32|Untranched|1|0.3|25,000,000|0
ITRAXX JAPAN SERIES 34|Untranched|3|1.7|25,000,000|1
ITRAXX JAPAN SERIES 35|Untranched|10|4.7|150,000,000|6
ITRAXX JAPAN SERIES 36|Untranched|10|9.0|200,000,000|8
