REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE
AUCHAN HOLDING|EUROPE|Y|6|3.0|7,500,000|2|> 95%
AUSNET SERVICES HOLDINGS PTY LTD|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|> 95%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|AUSTRALIA NZ|Y|4|2.0|7,500,000|1|> 95%
AUTOZONE, INC.|AMERICAS|Y|7|3.0|10,000,000|2|< 5%
AVALONBAY COMMUNITIES, INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
AVIENT CORPORATION|AMERICAS|Y|7|6.0|5,000,000|4|< 5%
AVIS BUDGET GROUP, INC.|AMERICAS|Y|7|5.3|15,000,000|4|< 5%
AVIVA PLC|EUROPE|Y|10|7.3|17,500,000|3|> 95%
AVNET, INC.|AMERICAS|Y|7|3.3|12,500,000|3|< 5%
AVON PRODUCTS, INC.|AMERICAS|Y|7|3.3|5,000,000|2|< 5%
AXA|EUROPE|Y|10|7.0|15,000,000|3|> 95%
BAE SYSTEMS PLC|EUROPE|Y|4|1.3|10,000,000|1|> 95%
BAIDU, INC.|ASIA EX-JAPAN|Y|4|2.3|2,500,000|0|> 95%
BALL CORPORATION|AMERICAS|Y|8|6.0|2,500,000|1|< 5%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|EUROPE|Y|3|1.3|2,500,000|0|> 95%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|EUROPE|Y|11|7.3|17,500,000|4|> 95%
BANCO BPM SOCIETA' PER AZIONI|EUROPE||4|1.3|2,500,000|0|> 95%
BANCO COMERCIAL PORTUGUES, S.A.|EUROPE|Y|1|0.3|2,500,000|0|> 95%
BANCO DE SABADELL, S.A.|EUROPE||3|1.0|2,500,000|0|> 95%
BANCO SANTANDER, S.A.|EUROPE|Y|12|8.7|22,500,000|4|> 95%
BANK OF AMERICA CORPORATION|AMERICAS|Y|7|2.7|20,000,000|2|< 5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|5|1.7|12,500,000|1|> 95%
BANK OF INDIA|ASIA EX-JAPAN|Y|4|1.7|2,500,000|0|> 95%
BANK OF MONTREAL|AMERICAS||0|0.0|2,500,000|0|< 5%
BANK OF SCOTLAND PLC|EUROPE|Y|1|0.3|2,500,000|0|> 95%
BANQUE CENTRALE DE TUNISIE|EUROPE|Y|1|0.7|2,500,000|0|> 95%
BARCLAYS BANK PLC|EUROPE|Y|7|5.3|50,000,000|3|> 95%
BARCLAYS PLC|EUROPE|Y|12|9.0|50,000,000|6|> 95%
BARRICK GOLD CORPORATION|AMERICAS|Y|6|3.3|12,500,000|4|< 5%
BASF SE|EUROPE|Y|4|1.3|10,000,000|1|> 95%
BAUSCH HEALTH COMPANIES INC.|AMERICAS|Y|8|6.7|7,500,000|4|< 5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|6|3.0|10,000,000|3|< 5%
BAYER AKTIENGESELLSCHAFT|EUROPE|Y|8|5.0|17,500,000|2|> 95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|EUROPE|Y|8|5.7|50,000,000|4|> 95%
BEAM SUNTORY INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
BEAZER HOMES USA, INC.|AMERICAS|Y|7|4.3|12,500,000|4|< 5%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|6|3.0|22,500,000|2|< 5%
BERRY GLOBAL, INC.|AMERICAS||2|0.7|5,000,000|0|< 5%
BERTELSMANN SE & CO. KGAA|EUROPE|Y|3|1.7|2,500,000|0|> 95%
BEST BUY CO., INC.|AMERICAS|Y|6|3.7|7,500,000|2|< 5%
BHP GROUP LIMITED|AUSTRALIA NZ|Y|3|1.3|10,000,000|1|> 95%
BLOCK FINANCIAL LLC|AMERICAS|Y|7|3.0|7,500,000|2|< 5%
BNP PARIBAS|EUROPE|Y|12|8.0|50,000,000|4|> 95%
BOC AVIATION LIMITED|ASIA EX-JAPAN|Y|3|1.3|2,500,000|0|> 95%
BOEING CAPITAL CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
BOMBARDIER INC.|AMERICAS|Y|7|3.3|15,000,000|4|< 5%
BOPARAN FINANCE PLC|EUROPE|Y|6|3.7|5,000,000|2|> 95%
BORGWARNER INC.|AMERICAS|Y|3|1.7|2,500,000|1|< 5%
BOSTON PROPERTIES LIMITED PARTNERSHIP|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|7|2.7|10,000,000|2|< 5%
BOUYGUES|EUROPE|Y|5|1.7|10,000,000|2|> 95%
BOYD GAMING CORPORATION|AMERICAS|Y|7|5.7|5,000,000|1|< 5%
BP P.L.C.|EUROPE|Y|8|4.7|50,000,000|4|> 95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|7|4.7|12,500,000|3|< 5%
BRITISH AMERICAN TOBACCO P.L.C.|EUROPE|Y|7|5.0|17,500,000|2|> 95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|EUROPE|Y|8|4.0|22,500,000|5|> 95%
BROOKFIELD ASSET MANAGEMENT INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
CABLE & WIRELESS LIMITED|EUROPE|Y|2|0.7|2,500,000|0|> 95%
CAIXA GERAL DE DEPOSITOS S.A.|EUROPE||2|0.7|2,500,000|0|> 95%
CALPINE CORPORATION|AMERICAS|Y|7|3.3|5,000,000|1|< 5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|7|4.3|15,000,000|4|< 5%
CANADIAN NATURAL RESOURCES LIMITED|AMERICAS|Y|8|3.7|10,000,000|2|< 5%
CANON INC.|JAPAN|Y|1|0.3|2,500,000|0|> 95%
CAPGEMINI|EUROPE|Y|1|0.3|2,500,000|0|> 95%
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|AMERICAS|Y|5|2.0|5,000,000|1|< 5%
CAPITAL ONE FINANCIAL CORPORATION|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
CAPITALAND LIMITED|ASIA EX-JAPAN|Y|4|1.7|2,500,000|0|> 95%
CARDINAL HEALTH, INC.|AMERICAS|Y|6|3.7|12,500,000|3|< 5%
CARE UK SOCIAL CARE LIMITED|EUROPE||1|0.3|2,500,000|0|> 95%
CARLSBERG BREWERIES A/S|EUROPE|Y|1|0.3|5,000,000|0|> 95%
CARNIVAL CORPORATION|AMERICAS|Y|7|5.7|50,000,000|12|< 5%
CARREFOUR|EUROPE|Y|10|5.3|17,500,000|2|> 95%
CASINO GUICHARD-PERRACHON|EUROPE|Y|9|7.3|50,000,000|6|> 95%
CATERPILLAR INC.|AMERICAS|Y|5|2.0|7,500,000|1|< 5%
CCO HOLDINGS, LLC|AMERICAS|Y|7|3.7|7,500,000|2|< 5%
CECONOMY AG|EUROPE|Y|4|1.7|7,500,000|1|> 95%
CELLNEX TELECOM, S.A.|EUROPE|Y|9|6.0|15,000,000|3|> 95%
CENTRICA PLC|EUROPE|Y|6|3.3|20,000,000|3|> 95%
CHEVRON CORPORATION|AMERICAS||2|0.7|2,500,000|0|< 5%
CHINA AOYUAN GROUP LIMITED|ASIA EX-JAPAN||1|0.7|2,500,000|0|> 95%
CHINA CINDA (HK) HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
CHINA CONSTRUCTION BANK CORPORATION|ASIA EX-JAPAN|Y|4|2.0|5,000,000|0|> 95%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN|Y|3|1.3|7,500,000|0|> 95%
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|ASIA EX-JAPAN|Y|5|3.3|7,500,000|1|> 95%
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|ASIA EX-JAPAN|Y|4|2.3|5,000,000|1|> 95%
CHINA ORIENT ASSET MANAGEMENT (INTERNATIONAL) HOLDING LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
CHINA OVERSEAS LAND & INVESTMENT LIMITED|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
CHINA PETROCHEMICAL CORPORATION|ASIA EX-JAPAN|Y|5|2.0|2,500,000|0|> 95%
CHUBB LIMITED|AMERICAS|Y|6|2.3|7,500,000|2|< 5%
CIGNA CORPORATION|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
CIGNA HOLDING COMPANY|AMERICAS||1|0.3|2,500,000|0|< 5%
CISCO SYSTEMS, INC.|AMERICAS|Y|6|3.0|5,000,000|1|< 5%
CIT GROUP INC.|AMERICAS|Y|6|2.3|5,000,000|1|< 5%
CITIC LIMITED|ASIA EX-JAPAN|Y|3|1.3|2,500,000|0|> 95%
CITIGROUP INC.|AMERICAS|Y|4|2.0|22,500,000|2|< 5%
CLARIANT AG|EUROPE|Y|6|2.7|10,000,000|2|> 95%
CLEVELAND-CLIFFS INC.|AMERICAS|Y|7|3.3|10,000,000|3|< 5%
CMA CGM|EUROPE|Y|8|5.0|7,500,000|2|> 95%
CNH INDUSTRIAL N.V.|EUROPE|Y|6|4.0|20,000,000|5|> 95%
CNOOC LIMITED|ASIA EX-JAPAN|Y|4|1.7|2,500,000|0|> 95%
COMCAST CORPORATION|AMERICAS|Y|7|3.7|12,500,000|2|< 5%
COMMERZBANK AKTIENGESELLSCHAFT|EUROPE|Y|10|7.3|22,500,000|3|> 95%
COMMONWEALTH BANK OF AUSTRALIA|AUSTRALIA NZ|Y|3|1.0|7,500,000|1|> 95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN|Y|3|1.3|15,000,000|1|> 95%
COMMUNITY HEALTH SYSTEMS, INC.|AMERICAS|Y|7|5.0|15,000,000|9|< 5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE|Y|6|2.0|5,000,000|1|> 95%
COMPAGNIE FINANCIERE MICHELIN SA|EUROPE||6|2.3|5,000,000|1|> 95%
COMPASS GROUP PLC|EUROPE|Y|5|2.3|7,500,000|1|> 95%
CONAGRA BRANDS, INC.|AMERICAS|Y|8|3.7|10,000,000|2|< 5%
CONOCOPHILLIPS|AMERICAS|Y|8|4.3|10,000,000|2|< 5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
CONSTELLIUM SE|EUROPE|Y|7|3.0|5,000,000|1|> 95%
CONTINENTAL AKTIENGESELLSCHAFT|EUROPE|Y|7|3.3|12,500,000|2|> 95%
COOEPERATIEVE RABOBANK U.A.|EUROPE|Y|7|4.3|10,000,000|3|> 95%
COOPER TIRE & RUBBER COMPANY|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
COUNTRY GARDEN HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN|Y|2|0.7|7,500,000|0|> 95%
COX COMMUNICATIONS, INC.|AMERICAS|Y|5|2.3|7,500,000|1|< 5%
CREDIT AGRICOLE SA|EUROPE|Y|10|6.0|15,000,000|4|> 95%
CREDIT SUISSE GROUP AG|EUROPE|Y|9|6.7|20,000,000|3|> 95%
CROWN EUROPEAN HOLDINGS|EUROPE|Y|7|3.3|2,500,000|1|> 95%
CSC HOLDINGS, LLC|AMERICAS|Y|7|3.0|2,500,000|1|< 5%
CSX CORPORATION|AMERICAS|Y|8|4.0|10,000,000|2|< 5%
CVS HEALTH CORPORATION|AMERICAS|Y|9|5.0|15,000,000|3|< 5%
CZECH REPUBLIC|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
D.R. HORTON, INC.|AMERICAS|Y|7|3.7|7,500,000|2|< 5%
DAIMLER AG|EUROPE|Y|8|6.3|50,000,000|5|> 95%
DANAHER CORPORATION|AMERICAS|Y|7|3.3|5,000,000|1|< 5%
DANONE|EUROPE|Y|2|0.7|7,500,000|1|> 95%
DANSKE BANK A/S|EUROPE|Y|7|3.3|5,000,000|1|> 95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|5|2.7|7,500,000|2|< 5%
DAVITA INC.|AMERICAS|Y|7|5.3|2,500,000|2|< 5%
DBS BANK LTD.|ASIA EX-JAPAN|Y|3|1.0|2,500,000|0|> 95%
DEERE & COMPANY|AMERICAS|Y|7|3.7|7,500,000|2|< 5%
DELL INC.|AMERICAS|Y|7|4.3|12,500,000|4|< 5%
DELTA AIR LINES, INC.|AMERICAS|Y|6|5.3|5,000,000|2|< 5%
DEUTSCHE BANK AKTIENGESELLSCHAFT|EUROPE|Y|11|9.7|50,000,000|6|> 95%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|EUROPE|Y|9|6.3|50,000,000|6|> 95%
DEUTSCHE POST AG|EUROPE|Y|3|1.3|2,500,000|1|> 95%
DEUTSCHE TELEKOM AG|EUROPE|Y|6|3.3|12,500,000|2|> 95%
DEVON ENERGY CORPORATION|AMERICAS|Y|8|6.7|25,000,000|6|< 5%
DIAGEO PLC|EUROPE|Y|1|0.3|7,500,000|1|> 95%
DIAMOND SPORTS GROUP, LLC|AMERICAS|Y|6|3.0|2,500,000|1|< 5%
DILLARD'S, INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
DISH DBS CORPORATION|AMERICAS|Y|7|6.0|20,000,000|6|< 5%
DMG MORI CO., LTD.|JAPAN||1|0.3|2,500,000|0|> 95%
DNB BANK ASA|EUROPE||1|0.3|2,500,000|0|> 95%
DOMINION ENERGY, INC.|AMERICAS|Y|7|4.0|10,000,000|3|< 5%
DOMTAR CORPORATION|AMERICAS|Y|8|3.7|12,500,000|3|< 5%
DUBAI|SOVEREIGN|Y|3|1.0|2,500,000|1|> 95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|6|2.3|5,000,000|1|< 5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|6|3.7|10,000,000|3|< 5%
E. I. DU PONT DE NEMOURS AND COMPANY|AMERICAS|Y|6|3.0|5,000,000|1|< 5%
E.ON SE|EUROPE|Y|8|3.3|17,500,000|1|> 95%
EAST JAPAN RAILWAY COMPANY|JAPAN|Y|1|0.3|2,500,000|0|> 95%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|7|2.7|12,500,000|2|< 5%
EDP - ENERGIAS DE PORTUGAL, S.A.|EUROPE|Y|1|0.3|2,500,000|1|> 95%
EDP FINANCE B.V.|EUROPE|Y|8|4.7|5,000,000|1|> 95%
ELECTRICITE DE FRANCE|EUROPE|Y|9|5.7|50,000,000|4|> 95%
ELI LILLY AND COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
ELIS|EUROPE|Y|7|4.7|5,000,000|2|> 95%
ENBRIDGE INC.|AMERICAS|Y|7|4.3|10,000,000|3|< 5%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|EUROPE|Y|1|0.3|5,000,000|0|> 95%
ENEL S.P.A.|EUROPE|Y|6|3.3|25,000,000|5|> 95%
ENERGY TRANSFER OPERATING, L.P.|AMERICAS|Y|7|3.7|10,000,000|4|< 5%
ENGIE|EUROPE|Y|4|1.3|12,500,000|1|> 95%
ENI S.P.A.|EUROPE|Y|8|4.7|17,500,000|3|> 95%
ENTERPRISE PRODUCTS OPERATING LLC|AMERICAS||1|0.3|2,500,000|0|< 5%
EQUINIX, INC.|AMERICAS|Y|5|2.3|2,500,000|0|< 5%
EQUINOR ASA|EUROPE|Y|3|1.0|5,000,000|1|> 95%
ERP OPERATING LIMITED PARTNERSHIP|AMERICAS|Y|6|2.3|7,500,000|2|< 5%
ESKOM HOLDINGS SOC LIMITED|EUROPE|Y|2|0.7|5,000,000|1|> 95%
EXELON CORPORATION|AMERICAS|Y|6|2.3|5,000,000|1|< 5%
EXELON GENERATION COMPANY, LLC|AMERICAS||1|0.3|2,500,000|0|< 5%
EXPEDIA GROUP, INC.|AMERICAS|Y|8|5.3|17,500,000|5|< 5%
EXPERIAN FINANCE PLC|EUROPE|Y|0|0.0|7,500,000|1|> 95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN|Y|4|1.3|2,500,000|0|> 95%
EXXON MOBIL CORPORATION|AMERICAS||2|0.7|2,500,000|0|< 5%
FAURECIA|EUROPE|Y|6|4.0|2,500,000|2|> 95%
FCC AQUALIA, S.A.|EUROPE|Y|4|1.7|2,500,000|1|> 95%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN|Y|3|1.7|12,500,000|1|> 95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|11|9.7|450,000,000|44|> 95%
FEDEX CORPORATION|AMERICAS|Y|4|2.3|2,500,000|0|< 5%
FIAT CHRYSLER AUTOMOBILES N.V.|EUROPE|Y|7|5.7|25,000,000|8|> 95%
FIRST DATA CORPORATION|AMERICAS|Y|4|1.3|2,500,000|0|< 5%
FIRSTENERGY CORP.|AMERICAS|Y|6|3.7|12,500,000|2|< 5%
FISERV, INC.|AMERICAS|Y|7|4.0|2,500,000|1|< 5%
FORD MOTOR COMPANY|AMERICAS|Y|10|7.3|25,000,000|7|< 5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||7|4.0|7,500,000|2|< 5%
FORTUM OYJ|EUROPE|Y|5|1.7|5,000,000|1|> 95%
FOSTER'S GROUP PTY LTD|AUSTRALIA NZ|Y|2|1.0|2,500,000|0|> 95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|7|5.0|20,000,000|6|< 5%
FRENCH REPUBLIC|SOVEREIGN|Y|8|4.3|50,000,000|2|> 95%
FRESENIUS SE & CO. KGAA|EUROPE|Y|3|2.0|2,500,000|0|> 95%
FUJITSU LIMITED|JAPAN|Y|4|1.7|2,500,000|0|> 95%
GALP ENERGIA, SGPS, S.A.|EUROPE|Y|5|2.0|7,500,000|2|> 95%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE|Y|6|2.7|5,000,000|1|> 95%
GAZPROM PUBLIC JOINT STOCK COMPANY|EUROPE|Y|4|1.3|2,500,000|0|> 95%
GECINA|EUROPE|Y|1|0.3|2,500,000|0|> 95%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|8|6.0|50,000,000|9|< 5%
GENERAL MILLS, INC.|AMERICAS|Y|6|3.0|10,000,000|2|< 5%
GENERAL MOTORS COMPANY|AMERICAS|Y|8|7.0|25,000,000|8|< 5%
GENERALITAT DE CATALUNYA|SOVEREIGN||1|0.3|2,500,000|0|> 95%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|8|4.0|5,000,000|2|< 5%
GKN HOLDINGS LIMITED|EUROPE|Y|5|2.3|7,500,000|1|> 95%
GLAXOSMITHKLINE PLC|EUROPE|Y|2|0.7|5,000,000|1|> 95%
GLENCORE INTERNATIONAL AG|EUROPE|Y|8|6.3|50,000,000|10|> 95%
GRIFOLS, S.A.|EUROPE|Y|7|3.7|5,000,000|1|> 95%
GS CALTEX CORPORATION|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
HALLIBURTON COMPANY|AMERICAS|Y|7|4.0|25,000,000|4|< 5%
HAMMERSON PLC|EUROPE|Y|4|2.0|2,500,000|0|> 95%
HANNOVER RUECK SE|EUROPE|Y|9|6.0|15,000,000|3|> 95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|EUROPE|Y|7|4.3|7,500,000|2|> 95%
HCA INC.|AMERICAS|Y|7|4.7|15,000,000|5|< 5%
HD SUPPLY, INC.|AMERICAS|Y|7|5.0|2,500,000|1|< 5%
HEALTHPEAK PROPERTIES, INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
HEATHROW FUNDING LIMITED|EUROPE||5|2.0|2,500,000|0|> 95%
HEIDELBERGCEMENT AG|EUROPE|Y|7|4.3|20,000,000|6|> 95%
HEINEKEN N.V.|EUROPE|Y|7|2.3|10,000,000|1|> 95%
HELLENIC REPUBLIC|SOVEREIGN|Y|9|7.0|50,000,000|3|> 95%
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|EUROPE|Y|1|0.3|2,500,000|1|> 95%
HENKEL AG & CO. KGAA|EUROPE|Y|3|1.0|5,000,000|0|> 95%
HESS CORPORATION|AMERICAS|Y|8|5.7|12,500,000|3|< 5%
HITACHI, LTD.|JAPAN|Y|5|2.0|2,500,000|0|> 95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE|Y|5|3.3|12,500,000|5|> 95%
HONDA MOTOR CO., LTD.|JAPAN|Y|6|3.0|2,500,000|0|> 95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|5|2.0|5,000,000|1|< 5%
HOST HOTELS & RESORTS, L.P.|AMERICAS|Y|7|5.3|15,000,000|4|< 5%
HOWMET AEROSPACE INC.|AMERICAS|Y|7|3.3|7,500,000|2|< 5%
HP INC.|AMERICAS|Y|5|2.0|7,500,000|2|< 5%
HSBC BANK PLC|EUROPE|Y|6|3.3|7,500,000|1|> 95%
HSBC HOLDINGS PLC|EUROPE|Y|11|7.3|50,000,000|5|> 95%
HUMANA INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
HUNGARY|SOVEREIGN|Y|2|0.7|2,500,000|0|> 95%
HUNTSMAN INTERNATIONAL LLC|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
HUTCHISON WHAMPOA LIMITED|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
HYUNDAI CAPITAL SERVICES, INC.|ASIA EX-JAPAN||0|0.0|2,500,000|0|> 95%
HYUNDAI MOTOR COMPANY|ASIA EX-JAPAN|Y|4|1.7|2,500,000|0|> 95%
IBERDROLA, S.A.|EUROPE|Y|7|4.3|20,000,000|2|> 95%
ICELAND BONDCO PLC|EUROPE|Y|8|5.3|5,000,000|2|> 95%
ICICI BANK LIMITED|ASIA EX-JAPAN|Y|3|1.3|2,500,000|0|> 95%
IDBI BANK LIMITED|ASIA EX-JAPAN|Y|4|2.0|2,500,000|0|> 95%
IMPERIAL BRANDS PLC|EUROPE|Y|8|4.0|22,500,000|3|> 95%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|8|3.0|7,500,000|0|> 95%
INDUSTRIAL BANK OF KOREA|ASIA EX-JAPAN|Y|3|1.0|2,500,000|0|> 95%
INEOS GROUP HOLDINGS S.A.|EUROPE|Y|8|5.3|5,000,000|2|> 95%
ING BANK N.V.|EUROPE|Y|5|2.3|7,500,000|1|> 95%
ING GROEP N.V.|EUROPE|Y|9|6.3|17,500,000|3|> 95%
INTERNATIONAL BUSINESS MACHINES CORPORATION|AMERICAS|Y|9|5.3|22,500,000|4|< 5%
