REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|EUROPE|Y|12|8.3|10,000,000|1|95%
ASSURED GUARANTY MUNICIPAL CORP.|AMERICAS|Y|2|0.7|2,500,000|1|5%
ASTRAZENECA PLC|EUROPE|Y|1|0.7|2,500,000|1|95%
AT&T INC.|AMERICAS|Y|8|7.7|50,000,000|6|5%
ATLANTIA S.P.A.|EUROPE|Y|8|4.7|7,500,000|2|95%
AUCHAN HOLDING|EUROPE|Y|6|3.7|2,500,000|1|95%
AUSNET SERVICES HOLDINGS PTY LTD|AUSTRALIA NZ|Y|2|0.7|2,500,000|0|95%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|AUSTRALIA NZ|Y|4|1.7|2,500,000|0|95%
AUTONOMOUS REGION OF SARDINIA|SOVEREIGN||1|0.3|2,500,000|0|95%
AUTOZONE, INC.|AMERICAS|Y|3|1.0|5,000,000|1|5-25%
AVIENT CORPORATION|AMERICAS||3|1.0|2,500,000|0|5%
AVIS BUDGET GROUP, INC.|AMERICAS|Y|7|5.3|5,000,000|3|5%
AVIVA PLC|EUROPE|Y|7|6.3|7,500,000|1|95%
AVNET, INC.|AMERICAS|Y|2|0.7|5,000,000|1|5%
AVON PRODUCTS, INC.|AMERICAS|Y|4|2.3|2,500,000|1|5%
AXA|EUROPE|Y|10|4.7|12,500,000|2|95%
BAE SYSTEMS PLC|EUROPE|Y|5|3.0|5,000,000|1|95%
BAIDU, INC.|ASIA EX-JAPAN|Y|5|3.3|2,500,000|0|95%
BALL CORPORATION|AMERICAS|Y|7|4.0|2,500,000|0|5%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|EUROPE|Y|1|0.7|2,500,000|0|95%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|EUROPE|Y|10|6.0|12,500,000|2|95%
BANCO BPM SOCIETA' PER AZIONI|EUROPE||1|0.7|2,500,000|0|95%
BANCO BRADESCO S.A.|AMERICAS||2|0.7|2,500,000|0|95%
BANCO COMERCIAL PORTUGUES, S.A.|EUROPE|Y|1|0.3|2,500,000|0|95%
BANCO DE SABADELL, S.A.|EUROPE||2|0.7|2,500,000|0|95%
BANCO DO BRASIL S.A.|AMERICAS||1|0.3|2,500,000|0|95%
BANCO SANTANDER, S.A.|EUROPE|Y|8|6.7|12,500,000|2|95%
BANK OF AMERICA CORPORATION|AMERICAS|Y|5|3.7|15,000,000|1|5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|5|3.0|15,000,000|1|95%
BANK OF INDIA|ASIA EX-JAPAN|Y|6|3.7|2,500,000|0|95%
BARCLAYS BANK PLC|EUROPE|Y|6|4.7|15,000,000|1|95%
BARCLAYS PLC|EUROPE|Y|9|8.0|22,500,000|3|95%
BARRICK GOLD CORPORATION|AMERICAS|Y|5|2.0|5,000,000|1|5%
BASF SE|EUROPE|Y|6|2.3|5,000,000|1|95%
BAUSCH HEALTH COMPANIES INC.|AMERICAS|Y|7|4.3|2,500,000|0|5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|0|0.0|5,000,000|1|5%
BAYER AKTIENGESELLSCHAFT|EUROPE|Y|6|3.0|7,500,000|1|95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|EUROPE|Y|9|5.0|12,500,000|1|95%
BEAZER HOMES USA, INC.|AMERICAS|Y|7|3.0|7,500,000|2|5%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|8|3.0|7,500,000|2|5%
BERTELSMANN SE & CO. KGAA|EUROPE|Y|6|3.0|5,000,000|0|95%
BEST BUY CO., INC.|AMERICAS|Y|3|1.7|5,000,000|1|5%
BHP GROUP LIMITED|AUSTRALIA NZ|Y|5|2.0|5,000,000|0|95%
BLOCK FINANCIAL LLC|AMERICAS|Y|2|0.7|5,000,000|1|5%
BNP PARIBAS|EUROPE|Y|9|7.7|12,500,000|1|95%
BOC AVIATION LIMITED|ASIA EX-JAPAN||2|1.7|2,500,000|0|95%
BOEING CAPITAL CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|5%
BOMBARDIER INC.|AMERICAS|Y|6|3.3|7,500,000|2|5%
BOPARAN FINANCE PLC|EUROPE|Y|4|1.3|2,500,000|0|95%
BORGWARNER INC.|AMERICAS||2|0.7|2,500,000|0|25-75%
BOSTON PROPERTIES LIMITED PARTNERSHIP|AMERICAS||0|0.0|2,500,000|0|5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|1|0.3|5,000,000|1|5%
BOUYGUES|EUROPE|Y|4|1.3|5,000,000|1|95%
BOYD GAMING CORPORATION|AMERICAS|Y|6|5.3|2,500,000|1|5%
BP P.L.C.|EUROPE|Y|9|5.3|15,000,000|2|95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|5|1.7|2,500,000|1|5%
BRITISH AMERICAN TOBACCO P.L.C.|EUROPE|Y|9|7.0|7,500,000|1|95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|EUROPE|Y|9|5.3|12,500,000|2|95%
CABLE & WIRELESS LIMITED|EUROPE|Y|1|0.3|2,500,000|0|95%
CAIXA GERAL DE DEPOSITOS S.A.|EUROPE||0|0.0|2,500,000|0|95%
CAIXABANK, S.A.|EUROPE||1|0.3|2,500,000|0|95%
CALPINE CORPORATION|AMERICAS|Y|1|0.7|2,500,000|0|5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|3|1.3|5,000,000|1|5%
CANADIAN NATURAL RESOURCES LIMITED|AMERICAS|Y|6|3.3|5,000,000|2|5%
CAPGEMINI|EUROPE||1|0.3|2,500,000|0|95%
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|AMERICAS|Y|0|0.0|5,000,000|1|5%
CAPITAL ONE FINANCIAL CORPORATION|AMERICAS|Y|1|0.3|2,500,000|0|5%
CAPITALAND LIMITED|ASIA EX-JAPAN|Y|6|3.7|2,500,000|0|95%
CARDINAL HEALTH, INC.|AMERICAS|Y|5|2.3|7,500,000|2|5%
CARE UK HEALTH & SOCIAL CARE LIMITED|EUROPE||6|2.0|2,500,000|0|95%
CARLSBERG BREWERIES A/S|EUROPE|Y|5|2.3|2,500,000|1|95%
CARNIVAL CORPORATION|AMERICAS|Y|7|5.3|10,000,000|5|5%
CARREFOUR|EUROPE|Y|9|4.7|7,500,000|1|95%
CASINO GUICHARD-PERRACHON|EUROPE|Y|9|7.3|7,500,000|3|95%
CATERPILLAR FINANCIAL SERVICES CORPORATION|AMERICAS||0|0.0|2,500,000|0|5%
CATERPILLAR INC.|AMERICAS|Y|3|1.7|5,000,000|1|5%
CCO HOLDINGS, LLC|AMERICAS|Y|3|1.0|5,000,000|0|5%
CECONOMY AG|EUROPE|Y|3|1.0|2,500,000|0|95%
CELLNEX TELECOM, S.A.|EUROPE|Y|6|3.0|2,500,000|0|95%
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|4|2.0|2,500,000|0|95%
CENTRAL JAPAN RAILWAY COMPANY|JAPAN||0|0.0|2,500,000|0|95%
CENTRICA PLC|EUROPE|Y|5|2.3|7,500,000|1|95%
CENTURYLINK, INC.|AMERICAS|Y|7|5.0|5,000,000|2|5%
CERVED GROUP S.P.A.|EUROPE|Y|0|0.0|2,500,000|0|95%
CHEVRON CORPORATION|AMERICAS||1|0.7|2,500,000|0|5%
CHINA AOYUAN GROUP LIMITED|ASIA EX-JAPAN||2|0.7|2,500,000|0|95%
CHINA CINDA (HK) HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN||3|1.7|2,500,000|0|95%
CHINA CONSTRUCTION BANK CORPORATION|ASIA EX-JAPAN|Y|4|2.7|2,500,000|0|95%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN|Y|4|2.3|5,000,000|0|95%
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|ASIA EX-JAPAN|Y|3|2.3|2,500,000|0|95%
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|ASIA EX-JAPAN|Y|5|3.0|2,500,000|0|95%
CHINA OVERSEAS LAND & INVESTMENT LIMITED|ASIA EX-JAPAN||2|1.0|2,500,000|0|95%
CHINA PETROCHEMICAL CORPORATION|ASIA EX-JAPAN|Y|4|1.7|2,500,000|0|95%
CHUBB INA HOLDINGS INC.|AMERICAS||0|0.0|2,500,000|0|5%
CHUBB LIMITED|AMERICAS|Y|1|0.3|5,000,000|1|5%
CIGNA CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|5%
CISCO SYSTEMS, INC.|AMERICAS|Y|1|0.3|2,500,000|1|5%
CIT GROUP INC.|AMERICAS|Y|6|2.7|5,000,000|1|5%
CITIC LIMITED|ASIA EX-JAPAN|Y|3|2.0|2,500,000|0|95%
CITIGROUP INC.|AMERICAS|Y|6|4.7|17,500,000|2|5%
CLARIANT AG|EUROPE|Y|5|2.3|5,000,000|1|95%
CLEVELAND-CLIFFS INC.|AMERICAS||3|1.3|2,500,000|1|5%
CMA CGM|EUROPE|Y|7|3.3|2,500,000|1|95%
CNH INDUSTRIAL N.V.|EUROPE|Y|6|3.3|2,500,000|1|95%
CNOOC LIMITED|ASIA EX-JAPAN|Y|4|2.7|2,500,000|0|95%
COMCAST CORPORATION|AMERICAS|Y|2|0.7|5,000,000|1|5%
COMISION FEDERAL DE ELECTRICIDAD|AMERICAS||0|0.0|2,500,000|0|95%
COMMERZBANK AKTIENGESELLSCHAFT|EUROPE|Y|11|8.3|15,000,000|2|95%
COMMONWEALTH BANK OF AUSTRALIA|AUSTRALIA NZ|Y|4|2.3|2,500,000|0|95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN|Y|4|1.7|12,500,000|1|95%
COMMUNITY HEALTH SYSTEMS, INC.|AMERICAS|Y|5|2.0|2,500,000|1|5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE|Y|4|2.7|5,000,000|1|95%
COMPAGNIE FINANCIERE MICHELIN SCMA|EUROPE|Y|7|2.3|2,500,000|1|95%
COMPASS GROUP PLC|EUROPE|Y|5|2.0|5,000,000|1|95%
CONAGRA BRANDS, INC.|AMERICAS|Y|5|1.7|5,000,000|1|5%
CONOCOPHILLIPS|AMERICAS|Y|3|1.3|5,000,000|1|5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|1|0.3|2,500,000|0|5%
CONSTELLIUM SE|EUROPE|Y|2|1.7|2,500,000|0|95%
CONTINENTAL AKTIENGESELLSCHAFT|EUROPE|Y|6|3.0|5,000,000|1|95%
COOEPERATIEVE RABOBANK U.A.|EUROPE|Y|5|4.0|5,000,000|0|95%
COOPER TIRE & RUBBER COMPANY|AMERICAS|Y|3|1.0|2,500,000|0|5%
COUNTRY GARDEN HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN||3|1.3|2,500,000|0|95%
COVIVIO|EUROPE||0|0.0|2,500,000|0|95%
COX COMMUNICATIONS, INC.|AMERICAS|Y|1|0.3|2,500,000|1|5%
CREDIT AGRICOLE SA|EUROPE|Y|10|6.0|5,000,000|1|95%
CREDIT SUISSE GROUP AG|EUROPE|Y|8|6.0|7,500,000|1|95%
CROWN EUROPEAN HOLDINGS|EUROPE|Y|2|1.0|2,500,000|0|95%
CROWN RESORTS LIMITED|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|95%
CSC HOLDINGS, LLC|AMERICAS|Y|3|1.0|2,500,000|1|5%
CSX CORPORATION|AMERICAS|Y|1|0.3|5,000,000|1|5%
CVS HEALTH CORPORATION|AMERICAS|Y|5|2.7|10,000,000|2|5%
CZECH REPUBLIC|SOVEREIGN|Y|2|0.7|2,500,000|0|95%
D.R. HORTON, INC.|AMERICAS|Y|3|1.0|5,000,000|1|5%
DAIMLER AG|EUROPE|Y|11|7.3|12,500,000|2|95%
DANAHER CORPORATION|AMERICAS||3|1.0|2,500,000|0|5%
DANONE|EUROPE|Y|5|1.7|2,500,000|0|95%
DANSKE BANK A/S|EUROPE|Y|6|3.3|2,500,000|0|95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|6|2.7|5,000,000|1|5%
DAVITA INC.|AMERICAS|Y|5|2.3|2,500,000|0|5%
DBS BANK LTD.|ASIA EX-JAPAN|Y|5|2.3|2,500,000|0|95%
DEERE & COMPANY|AMERICAS|Y|5|2.3|5,000,000|1|5%
DELL INC.|AMERICAS|Y|7|5.0|12,500,000|3|5%
DELTA AIR LINES, INC.|AMERICAS|Y|6|4.0|2,500,000|0|5%
DEUTSCHE BANK AKTIENGESELLSCHAFT|EUROPE|Y|10|9.0|50,000,000|3|95%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|EUROPE|Y|8|6.0|10,000,000|4|95%
DEUTSCHE POST AG|EUROPE|Y|4|3.0|5,000,000|1|95%
DEUTSCHE TELEKOM AG|EUROPE|Y|6|3.0|7,500,000|1|95%
DEVON ENERGY CORPORATION|AMERICAS|Y|7|5.3|10,000,000|3|5%
DEXIA CREDIT LOCAL|EUROPE||1|0.3|2,500,000|0|95%
DIAGEO PLC|EUROPE|Y|4|1.3|2,500,000|0|95%
DILLARD'S, INC.|AMERICAS|Y|1|0.7|2,500,000|0|5%
DISH DBS CORPORATION|AMERICAS|Y|3|1.7|5,000,000|1|5%
DOMINION ENERGY, INC.|AMERICAS|Y|3|1.3|5,000,000|1|5%
DOMTAR CORPORATION|AMERICAS|Y|3|1.0|5,000,000|1|5%
DRY MIX SOLUTIONS INVESTISSEMENTS|EUROPE|Y|2|0.7|2,500,000|0|95%
DUBAI|SOVEREIGN|Y|6|2.3|2,500,000|1|95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|1|0.3|2,500,000|0|5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|4|1.7|5,000,000|1|5%
E. I. DU PONT DE NEMOURS AND COMPANY|AMERICAS|Y|4|1.7|5,000,000|0|5%
E.ON SE|EUROPE|Y|6|3.3|5,000,000|1|95%
EAST JAPAN RAILWAY COMPANY|JAPAN||1|0.3|2,500,000|0|95%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|7|2.7|5,000,000|1|5%
EDP - ENERGIAS DE PORTUGAL, S.A.|EUROPE|Y|3|2.3|2,500,000|0|95%
EDP FINANCE B.V.|EUROPE|Y|9|6.0|5,000,000|1|95%
ELECTRICITE DE FRANCE|EUROPE|Y|6|2.7|12,500,000|2|95%
ELI LILLY AND COMPANY|AMERICAS||3|1.0|2,500,000|0|5%
ELIS|EUROPE|Y|7|4.3|2,500,000|0|95%
EMIRATES|EUROPE||0|0.0|2,500,000|0|95%
ENBRIDGE INC.|AMERICAS|Y|7|4.7|10,000,000|2|5%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|EUROPE|Y|0|0.0|2,500,000|0|95%
ENEL S.P.A.|EUROPE|Y|7|4.0|7,500,000|2|95%
ENERGY TRANSFER OPERATING, L.P.|AMERICAS|Y|5|2.0|5,000,000|1|5%
ENGIE|EUROPE|Y|7|2.3|7,500,000|1|95%
ENI S.P.A.|EUROPE|Y|7|3.7|7,500,000|1|95%
EQUINIX, INC.|AMERICAS|Y|1|0.3|2,500,000|0|5%
EQUINOR ASA|EUROPE|Y|3|1.0|2,500,000|0|95%
ERP OPERATING LIMITED PARTNERSHIP|AMERICAS|Y|0|0.0|5,000,000|1|5%
ESKOM HOLDINGS SOC LIMITED|EUROPE|Y|4|1.7|2,500,000|0|95%
EUROPCAR MOBILITY GROUP|EUROPE|Y|7|5.3|5,000,000|1|95%
EXELON CORPORATION|AMERICAS|Y|2|1.0|2,500,000|0|5%
EXELON GENERATION COMPANY, LLC|AMERICAS||0|0.0|2,500,000|0|5%
EXPEDIA GROUP, INC.|AMERICAS|Y|7|4.3|7,500,000|3|5%
EXPERIAN FINANCE PLC|EUROPE|Y|1|0.3|2,500,000|0|95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN|Y|7|3.3|2,500,000|0|95%
FAURECIA|EUROPE|Y|2|0.7|2,500,000|0|95%
FCC AQUALIA, S.A.|EUROPE|Y|1|0.3|2,500,000|0|95%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN|Y|1|0.3|5,000,000|0|95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|11|9.7|175,000,000|18|95%
FEDEX CORPORATION|AMERICAS||1|0.7|2,500,000|0|5%
FIAT CHRYSLER AUTOMOBILES N.V.|EUROPE|Y|10|7.3|10,000,000|3|95%
FINANCIERE QUICK|EUROPE|Y|2|0.7|2,500,000|0|95%
FIRST DATA CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|5%
FIRSTENERGY CORP.|AMERICAS|Y|5|2.0|5,000,000|1|5%
FISERV, INC.|AMERICAS||6|2.7|2,500,000|0|5%
FORD MOTOR COMPANY|AMERICAS|Y|11|8.0|15,000,000|5|5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||7|4.3|7,500,000|1|5%
FORTUM OYJ|EUROPE|Y|3|1.0|5,000,000|0|95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|5|3.0|7,500,000|2|5%
FRENCH REPUBLIC|SOVEREIGN|Y|5|2.3|17,500,000|1|95%
FRESENIUS SE & CO. KGAA|EUROPE|Y|2|1.0|2,500,000|0|95%
FUJITSU LIMITED|JAPAN|Y|2|1.0|2,500,000|0|95%
GALP ENERGIA, SGPS, S.A.|EUROPE|Y|0|0.0|2,500,000|0|95%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE|Y|6|4.3|5,000,000|3|95%
GATX CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|5%
GAZPROM PUBLIC JOINT STOCK COMPANY|EUROPE|Y|4|2.0|2,500,000|0|95%
GECINA|EUROPE|Y|0|0.0|2,500,000|0|95%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|10|6.0|15,000,000|3|5%
GENERAL MILLS, INC.|AMERICAS|Y|1|0.3|2,500,000|1|5%
GENERAL MOTORS COMPANY|AMERICAS|Y|9|5.7|15,000,000|3|5-25%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|5|2.0|2,500,000|1|5%
GKN HOLDINGS LIMITED|EUROPE|Y|6|2.7|2,500,000|1|95%
GLAXOSMITHKLINE PLC|EUROPE|Y|2|0.7|5,000,000|0|95%
GLENCORE INTERNATIONAL AG|EUROPE|Y|12|9.3|25,000,000|3|95%
GPT RE LIMITED AS RESPONSIBLE ENTITY OF THE GENERAL PROPERTY TRUST|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|95%
GRIFOLS, S.A.|EUROPE|Y|4|2.0|2,500,000|0|95%
GS CALTEX CORPORATION|ASIA EX-JAPAN|Y|4|2.3|2,500,000|1|95%
HALLIBURTON COMPANY|AMERICAS|Y|4|2.7|7,500,000|3|5%
HAMMERSON PLC|EUROPE|Y|8|4.3|2,500,000|0|95%
HANKYU HANSHIN HOLDINGS, INC.|JAPAN|Y|2|0.7|2,500,000|0|95%
HANNOVER RUECK SE|EUROPE|Y|8|4.0|5,000,000|1|95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|EUROPE|Y|7|5.0|2,500,000|1|95%
HCA INC.|AMERICAS|Y|7|3.7|7,500,000|2|5%
HD SUPPLY, INC.|AMERICAS|Y|4|2.0|2,500,000|0|5%
HEATHROW FUNDING LIMITED|EUROPE||8|4.0|2,500,000|0|95%
HEIDELBERGCEMENT AG|EUROPE|Y|8|5.3|7,500,000|2|95%
HEINEKEN N.V.|EUROPE|Y|7|2.7|5,000,000|0|95%
HELLENIC REPUBLIC|SOVEREIGN|Y|11|9.7|17,500,000|3|95%
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|EUROPE|Y|2|0.7|2,500,000|0|95%
HENKEL AG & CO. KGAA|EUROPE|Y|2|0.7|2,500,000|1|95%
HESS CORPORATION|AMERICAS|Y|5|3.7|7,500,000|2|5%
HITACHI, LTD.|JAPAN|Y|3|1.0|2,500,000|0|95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE|Y|0|0.0|2,500,000|0|95%
HONDA MOTOR CO., LTD.|JAPAN|Y|4|2.0|2,500,000|0|95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|3|1.0|7,500,000|1|5%
HOST HOTELS & RESORTS, L.P.|AMERICAS|Y|5|2.7|7,500,000|2|5%
HOWMET AEROSPACE INC.|AMERICAS||4|1.3|5,000,000|1|5%
HP INC.|AMERICAS|Y|6|3.0|5,000,000|1|5%
HSBC BANK PLC|EUROPE|Y|6|3.0|7,500,000|1|95%
HSBC HOLDINGS PLC|EUROPE|Y|11|8.7|20,000,000|4|95%
HUNGARY|SOVEREIGN|Y|3|1.0|2,500,000|0|95%
HUTCHISON WHAMPOA LIMITED|ASIA EX-JAPAN|Y|3|2.0|2,500,000|0|95%
HYUNDAI MOTOR COMPANY|ASIA EX-JAPAN|Y|5|2.0|2,500,000|0|95%
IBERDROLA, S.A.|EUROPE|Y|8|4.7|10,000,000|1|95%
ICELAND BONDCO PLC|EUROPE|Y|4|3.0|2,500,000|0|95%
ICICI BANK LIMITED|ASIA EX-JAPAN|Y|4|1.3|2,500,000|0|95%
IDBI BANK LIMITED|ASIA EX-JAPAN|Y|3|2.3|2,500,000|0|95%
IMPERIAL BRANDS PLC|EUROPE|Y|9|4.3|7,500,000|1|95%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|7|4.3|5,000,000|0|95%
INDUSTRIAL BANK OF KOREA|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|95%
INEOS GROUP HOLDINGS LIMITED|EUROPE|Y|0|0.0|2,500,000|0|95%
INEOS GROUP HOLDINGS S.A.|EUROPE|Y|4|2.7|2,500,000|1|95%
ING BANK N.V.|EUROPE|Y|1|0.3|2,500,000|0|95%
ING GROEP N.V.|EUROPE|Y|7|3.3|2,500,000|0|95%
INGERSOLL-RAND COMPANY|AMERICAS|Y|0|0.0|2,500,000|0|5%
INNOGY SE|EUROPE|Y|8|4.7|5,000,000|1|95%
INTERNATIONAL BUSINESS MACHINES CORPORATION|AMERICAS|Y|6|3.3|7,500,000|1|5%
INTERNATIONAL GAME TECHNOLOGY PLC|EUROPE|Y|6|3.7|2,500,000|1|95%
INTERNATIONAL LEASE FINANCE CORPORATION|AMERICAS|Y|2|0.7|5,000,000|1|5%
INTERNATIONAL PAPER COMPANY|AMERICAS|Y|6|2.3|5,000,000|1|5%
INTESA SANPAOLO SPA|EUROPE|Y|9|6.3|10,000,000|1|95%
INTRUM AB|EUROPE|Y|8|6.3|5,000,000|2|95%
IRELAND|SOVEREIGN|Y|3|1.0|2,500,000|0|95%
IRON MOUNTAIN INCORPORATED|AMERICAS|Y|4|3.0|2,500,000|0|5%
ISTAR INC.|AMERICAS|Y|3|1.0|2,500,000|1|5%
ITOCHU CORPORATION|JAPAN|Y|3|1.7|2,500,000|0|95%
ITV PLC|EUROPE|Y|7|3.0|7,500,000|2|95%
J SAINSBURY PLC|EUROPE|Y|5|2.0|2,500,000|1|95%
JAGUAR LAND ROVER AUTOMOTIVE PLC|EUROPE|Y|8|5.0|5,000,000|1|95%
JAPAN|SOVEREIGN|Y|10|7.7|20,000,000|1|95%
JAPAN TOBACCO INC.|JAPAN|Y|2|0.7|2,500,000|0|95%
JFE HOLDINGS, INC.|JAPAN|Y|6|2.7|5,000,000|1|95%
