REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
CARREFOUR|EUROPE|Y|11|7.3|12,500,000|1|> 95%
CASINO GUICHARD-PERRACHON|EUROPE|Y|9|8.7|20,000,000|6|> 95%
CATERPILLAR FINANCIAL SERVICES CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
CATERPILLAR INC.|AMERICAS|Y|6|3.3|5,000,000|1|< 5%
CCO HOLDINGS, LLC|AMERICAS|Y|4|3.0|5,000,000|1|< 5%
CECONOMY AG|EUROPE|Y|8|4.0|5,000,000|1|> 95%
CELLNEX TELECOM, S.A.|EUROPE|Y|4|2.7|2,500,000|0|> 95%
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|2|1.0|2,500,000|0|> 95%
CENTRICA PLC|EUROPE|Y|9|7.0|10,000,000|1|> 95%
CENTURYLINK, INC.|AMERICAS|Y|7|4.7|10,000,000|3|< 5%
CERVED GROUP S.P.A.|EUROPE|Y|1|0.3|2,500,000|0|> 95%
CHESAPEAKE ENERGY CORPORATION|AMERICAS|Y|8|6.0|17,500,000|7|< 5%
CHEVRON CORPORATION|AMERICAS||1|0.3|2,500,000|0|< 5%
CHINA CONSTRUCTION BANK CORPORATION|ASIA EX-JAPAN|Y|7|4.0|2,500,000|0|> 95%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN|Y|7|3.3|7,500,000|1|> 95%
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|ASIA EX-JAPAN|Y|9|5.3|5,000,000|1|> 95%
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|ASIA EX-JAPAN|Y|9|5.7|5,000,000|1|> 95%
CHINA PETROCHEMICAL CORPORATION|ASIA EX-JAPAN|Y|8|5.7|5,000,000|1|> 95%
CHUBB INA HOLDINGS INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
CHUBB LIMITED|AMERICAS|Y|3|1.0|5,000,000|0|< 5%
CHUBU ELECTRIC POWER COMPANY, INCORPORATED|JAPAN||2|0.7|2,500,000|0|> 95%
CIGNA HOLDING COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
CISCO SYSTEMS, INC.|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
CIT GROUP INC.|AMERICAS|Y|3|1.3|2,500,000|1|< 5%
CITIC LIMITED|ASIA EX-JAPAN|Y|7|4.0|2,500,000|0|> 95%
CITIGROUP INC.|AMERICAS|Y|10|4.7|12,500,000|1|< 5%
CITY OF CHICAGO|AMERICAS|Y|0|0.0|2,500,000|0|> 95%
CLARIANT AG|EUROPE|Y|5|2.0|5,000,000|1|> 95%
CMA CGM|EUROPE|Y|8|6.3|12,500,000|4|> 95%
CNH INDUSTRIAL N.V.|EUROPE|Y|8|6.3|7,500,000|2|> 95%
CNOOC LIMITED|ASIA EX-JAPAN|Y|8|5.7|5,000,000|1|> 95%
COMCAST CORPORATION|AMERICAS|Y|8|3.0|7,500,000|1|< 5%
COMMERZBANK AKTIENGESELLSCHAFT|EUROPE|Y|13|10.3|25,000,000|4|> 95%
COMMONWEALTH BANK OF AUSTRALIA|AUSTRALIA NZ|Y|9|6.0|17,500,000|2|> 95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN|Y|5|2.0|15,000,000|1|> 95%
COMMUNITY HEALTH SYSTEMS, INC.|AMERICAS|Y|7|5.0|7,500,000|2|< 5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE|Y|10|5.0|7,500,000|1|> 95%
COMPAGNIE FINANCIERE MICHELIN SCMA|EUROPE|Y|7|3.0|2,500,000|1|> 95%
COMPASS GROUP PLC|EUROPE|Y|3|1.3|5,000,000|0|> 95%
CONAGRA BRANDS, INC.|AMERICAS|Y|7|3.3|7,500,000|1|< 5%
CONOCOPHILLIPS|AMERICAS|Y|6|4.0|5,000,000|1|< 5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
CONSTELLIUM SE|EUROPE|Y|6|2.3|2,500,000|0|> 95%
CONTINENTAL AKTIENGESELLSCHAFT|EUROPE|Y|7|3.3|5,000,000|1|> 95%
COOEPERATIEVE RABOBANK U.A.|EUROPE|Y|11|7.0|7,500,000|1|> 95%
COOPER TIRE & RUBBER COMPANY|AMERICAS|Y|4|1.3|2,500,000|0|< 5%
COUNTRY GARDEN HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN||1|1.0|2,500,000|0|> 95%
COVIVIO|EUROPE||1|0.3|2,500,000|0|> 95%
COX COMMUNICATIONS, INC.|AMERICAS|Y|3|1.3|2,500,000|1|< 5%
CREDIT AGRICOLE SA|EUROPE|Y|10|8.0|7,500,000|1|> 95%
CREDIT SAISON CO., LTD.|JAPAN||1|0.3|2,500,000|0|> 95%
CREDIT SUISSE GROUP AG|EUROPE|Y|8|6.7|10,000,000|1|> 95%
CROWN RESORTS LIMITED|AUSTRALIA NZ|Y|2|0.7|2,500,000|0|> 95%
CSC HOLDINGS, LLC|AMERICAS|Y|1|0.7|2,500,000|1|< 5%
CSX CORPORATION|AMERICAS|Y|2|0.7|2,500,000|1|< 5%
CVS HEALTH CORPORATION|AMERICAS|Y|7|4.3|10,000,000|2|< 5%
CZECH REPUBLIC|SOVEREIGN|Y|2|0.7|2,500,000|0|> 95%
D.R. HORTON, INC.|AMERICAS|Y|3|1.3|5,000,000|1|< 5%
DAIMLER AG|EUROPE|Y|10|8.0|25,000,000|4|> 95%
DAIWA SECURITIES GROUP INC.|JAPAN||1|0.3|2,500,000|0|> 95%
DANONE|EUROPE|Y|6|2.3|2,500,000|0|> 95%
DANSKE BANK A/S|EUROPE|Y|6|4.3|5,000,000|1|> 95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|4|1.3|5,000,000|1|< 5%
DAVITA INC.|AMERICAS|Y|7|5.7|2,500,000|1|< 5%
DBS BANK LTD.|ASIA EX-JAPAN|Y|10|6.0|5,000,000|0|> 95%
DEERE & COMPANY|AMERICAS|Y|8|4.3|5,000,000|1|< 5%
DELL INC.|AMERICAS|Y|9|6.3|7,500,000|2|< 5%
DELTA AIR LINES, INC.|AMERICAS|Y|4|1.3|2,500,000|0|< 5%
DELUXE CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
DEUTSCHE BANK AKTIENGESELLSCHAFT|EUROPE|Y|11|10.7|50,000,000|6|> 95%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|EUROPE|Y|10|6.0|7,500,000|1|> 95%
DEUTSCHE POST AG|EUROPE|Y|5|1.7|2,500,000|0|> 95%
DEUTSCHE TELEKOM AG|EUROPE|Y|9|5.3|10,000,000|1|> 95%
DEVON ENERGY CORPORATION|AMERICAS|Y|8|6.0|10,000,000|3|< 5%
DIAGEO PLC|EUROPE|Y|6|3.3|7,500,000|1|> 95%
DIAMOND OFFSHORE DRILLING, INC.|AMERICAS|Y|7|4.7|7,500,000|2|< 5%
DILLARD'S, INC.|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
DISH DBS CORPORATION|AMERICAS|Y|8|5.7|15,000,000|3|< 5%
DMG MORI CO., LTD.|JAPAN||0|0.0|2,500,000|0|> 95%
DNB BANK ASA|EUROPE||1|0.3|2,500,000|0|> 95%
DOMINION ENERGY, INC.|AMERICAS|Y|4|1.3|5,000,000|1|< 5%
DOMTAR CORPORATION|AMERICAS|Y|7|4.0|2,500,000|1|< 5%
DRY MIX SOLUTIONS INVESTISSEMENTS|EUROPE|Y|0|0.0|2,500,000|0|> 95%
DUBAI|SOVEREIGN|Y|5|3.3|2,500,000|1|> 95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|6|3.0|5,000,000|1|< 5%
E. I. DU PONT DE NEMOURS AND COMPANY|AMERICAS|Y|3|1.0|2,500,000|1|< 5%
E.ON SE|EUROPE|Y|8|4.3|5,000,000|1|> 95%
EAST JAPAN RAILWAY COMPANY|JAPAN||0|0.0|2,500,000|0|> 95%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|7|4.0|7,500,000|2|< 5%
EATON CORPORATION|AMERICAS||1|0.3|2,500,000|0|< 5%
EDP - ENERGIAS DE PORTUGAL, S.A.|EUROPE|Y|3|1.0|2,500,000|0|> 95%
EDP FINANCE B.V.|EUROPE|Y|8|4.7|2,500,000|1|> 95%
ELECTRICITE DE FRANCE|EUROPE|Y|11|7.0|12,500,000|2|> 95%
ELI LILLY AND COMPANY|AMERICAS||2|0.7|2,500,000|0|< 5%
ELIS|EUROPE|Y|5|3.3|2,500,000|1|> 95%
EMIRATES|EUROPE||2|0.7|2,500,000|0|> 95%
ENBRIDGE INC.|AMERICAS|Y|8|4.0|5,000,000|1|25-75%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|EUROPE|Y|4|1.3|2,500,000|0|> 95%
ENCANA CORPORATION|AMERICAS|Y|8|6.3|7,500,000|2|< 5%
ENDESA, S.A.|EUROPE|Y|0|0.0|2,500,000|0|> 95%
ENEL S.P.A.|EUROPE|Y|10|6.3|12,500,000|2|> 95%
ENERGY TRANSFER OPERATING, L.P.|AMERICAS|Y|5|3.3|2,500,000|1|< 5%
ENGIE|EUROPE|Y|6|2.7|5,000,000|0|> 95%
ENI S.P.A.|EUROPE|Y|7|3.3|5,000,000|1|> 95%
EQUINIX, INC.|AMERICAS|Y|6|3.0|2,500,000|0|5-25%
EQUINOR ASA|EUROPE|Y|1|0.3|5,000,000|1|> 95%
ERP OPERATING LIMITED PARTNERSHIP|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
ESKOM HOLDINGS SOC LIMITED|EUROPE|Y|5|3.3|2,500,000|1|> 95%
EUROPCAR MOBILITY GROUP|EUROPE|Y|3|1.3|2,500,000|0|> 95%
EXELON CORPORATION|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
EXELON GENERATION COMPANY, LLC|AMERICAS||0|0.0|2,500,000|0|< 5%
EXPEDIA GROUP, INC.|AMERICAS|Y|5|2.3|2,500,000|1|< 5%
EXPERIAN FINANCE PLC|EUROPE|Y|6|2.0|2,500,000|0|> 95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN|Y|5|3.3|2,500,000|0|> 95%
FCC AQUALIA, S.A.|EUROPE|Y|1|0.7|2,500,000|0|> 95%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN|Y|4|1.3|22,500,000|0|> 95%
FEDERAL REPUBLIC OF NIGERIA|SOVEREIGN||2|0.7|2,500,000|0|> 95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|12|9.7|275,000,000|23|> 95%
FEDEX CORPORATION|AMERICAS||4|1.7|2,500,000|0|< 5%
FIAT CHRYSLER AUTOMOBILES N.V.|EUROPE|Y|9|8.0|12,500,000|3|> 95%
FINANCIERE QUICK|EUROPE|Y|2|0.7|2,500,000|0|> 95%
FIRST DATA CORPORATION|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
FIRSTENERGY CORP.|AMERICAS|Y|5|3.0|5,000,000|1|< 5%
FISERV, INC.|AMERICAS||2|1.3|5,000,000|1|< 5%
FORD MOTOR COMPANY|AMERICAS|Y|8|6.7|25,000,000|6|< 5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||7|3.3|10,000,000|3|< 5%
FORTUM OYJ|EUROPE|Y|4|2.7|2,500,000|1|> 95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|8|6.7|15,000,000|4|< 5%
FRENCH REPUBLIC|SOVEREIGN|Y|6|3.0|25,000,000|1|> 95%
FRESENIUS SE & CO. KGAA|EUROPE|Y|3|1.0|2,500,000|0|> 95%
FRONERI INTERNATIONAL LIMITED|EUROPE||1|0.3|2,500,000|0|> 95%
FRONTIER COMMUNICATIONS CORPORATION|AMERICAS|Y|6|5.7|12,500,000|4|< 5%
FUJITSU LIMITED|JAPAN|Y|7|3.3|2,500,000|0|> 95%
GALP ENERGIA, SGPS, S.A.|EUROPE|Y|5|2.0|2,500,000|0|> 95%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE|Y|6|3.3|2,500,000|2|> 95%
GATX CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
GAZPROM PUBLIC JOINT STOCK COMPANY|EUROPE|Y|8|4.3|5,000,000|1|> 95%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|9|7.0|50,000,000|9|< 5%
GENERAL MILLS, INC.|AMERICAS|Y|4|2.0|7,500,000|1|< 5%
GENERAL MOTORS COMPANY|AMERICAS|Y|9|6.0|15,000,000|3|< 5%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|6|3.7|5,000,000|1|< 5%
GKN HOLDINGS LIMITED|EUROPE|Y|7|3.0|2,500,000|0|> 95%
GLAXOSMITHKLINE PLC|EUROPE|Y|6|2.3|2,500,000|0|> 95%
GLENCORE INTERNATIONAL AG|EUROPE|Y|10|8.7|15,000,000|3|> 95%
GPT RE LIMITED AS RESPONSIBLE ENTITY OF THE GENERAL PROPERTY TRUST|AUSTRALIA NZ|Y|0|0.0|2,500,000|0|> 95%
GRIFOLS, S.A.|EUROPE|Y|3|1.0|2,500,000|0|> 95%
GS CALTEX CORPORATION|ASIA EX-JAPAN|Y|9|5.0|5,000,000|1|> 95%
HALLIBURTON COMPANY|AMERICAS|Y|8|4.7|5,000,000|1|< 5%
HAMMERSON PLC|EUROPE|Y|3|2.0|2,500,000|0|> 95%
HANKYU HANSHIN HOLDINGS, INC.|JAPAN|Y|4|1.3|2,500,000|0|> 95%
HANNOVER RUECK SE|EUROPE|Y|12|7.0|5,000,000|1|> 95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|EUROPE|Y|7|5.0|2,500,000|1|> 95%
HAVAS|EUROPE|Y|0|0.0|2,500,000|0|> 95%
HCA INC.|AMERICAS|Y|8|4.7|5,000,000|2|< 5%
HD SUPPLY, INC.|AMERICAS|Y|7|5.0|2,500,000|1|< 5%
HEATHROW FUNDING LIMITED|EUROPE||8|4.7|2,500,000|1|> 95%
HEIDELBERGCEMENT AG|EUROPE|Y|9|5.3|7,500,000|1|> 95%
HEINEKEN N.V.|EUROPE|Y|6|3.7|5,000,000|0|> 95%
HELLENIC REPUBLIC|SOVEREIGN|Y|9|8.3|50,000,000|5|> 95%
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|EUROPE|Y|3|1.7|2,500,000|0|> 95%
HEMA BONDCO I B.V.|EUROPE|Y|6|3.7|2,500,000|1|> 95%
HENKEL AG & CO. KGAA|EUROPE|Y|3|1.3|2,500,000|0|> 95%
HESS CORPORATION|AMERICAS|Y|7|4.3|7,500,000|2|< 5%
HITACHI, LTD.|JAPAN|Y|8|3.7|2,500,000|0|> 95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE|Y|5|2.0|2,500,000|0|> 95%
HONDA MOTOR CO., LTD.|JAPAN|Y|9|4.0|2,500,000|0|> 95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|4|1.3|2,500,000|0|5-25%
HONG KONG SPECIAL ADMINISTRATIVE REGION|SOVEREIGN|Y|0|0.0|2,500,000|0|> 95%
