REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|0|0.0|75,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|0|0.0|50,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|0|0.0|25,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|0|0.0|50,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 34|Untranched|0|0.0|125,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 35|Untranched|0|0.0|100,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 36|Untranched|1|0.3|175,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 37|Untranched|4|1.7|350,000,000|3
ITRAXX EUROPE SENIOR FINANCIALS SERIES 38|Untranched|8|6.3|3,925,000,000|104
ITRAXX EUROPE SENIOR FINANCIALS SERIES 39|Untranched|4|1.3|675,000,000|11
ITRAXX EUROPE SERIES 29|Untranched|1|0.3|75,000,000|1
ITRAXX EUROPE SERIES 30|Tranched|3|2.3|75,000,000|2
ITRAXX EUROPE SERIES 30|Untranched|1|0.3|550,000,000|3
ITRAXX EUROPE SERIES 31|Untranched|2|1.0|225,000,000|2
ITRAXX EUROPE SERIES 32|Tranched|4|3.7|150,000,000|3
ITRAXX EUROPE SERIES 32|Untranched|0|0.0|650,000,000|5
ITRAXX EUROPE SERIES 33|Untranched|2|0.7|250,000,000|2
ITRAXX EUROPE SERIES 34|Tranched|3|1.7|125,000,000|1
ITRAXX EUROPE SERIES 34|Untranched|2|0.7|750,000,000|5
ITRAXX EUROPE SERIES 35|Untranched|1|0.3|350,000,000|3
ITRAXX EUROPE SERIES 36|Tranched|5|3.7|75,000,000|4
ITRAXX EUROPE SERIES 36|Untranched|4|1.7|1,325,000,000|8
ITRAXX EUROPE SERIES 37|Untranched|8|4.7|1,475,000,000|15
ITRAXX EUROPE SERIES 38|Tranched|5|4.7|175,000,000|3
ITRAXX EUROPE SERIES 38|Untranched|10|9.0|28,900,000,000|483
ITRAXX EUROPE SERIES 39|Untranched|8|2.7|3,275,000,000|42
ITRAXX EUROPE SUB FINANCIALS SERIES 34|Untranched|0|0.0|75,000,000|1
ITRAXX EUROPE SUB FINANCIALS SERIES 36|Untranched|3|1.3|50,000,000|1
ITRAXX EUROPE SUB FINANCIALS SERIES 37|Untranched|3|1.3|75,000,000|2
ITRAXX EUROPE SUB FINANCIALS SERIES 38|Untranched|9|5.3|550,000,000|33
ITRAXX EUROPE SUB FINANCIALS SERIES 39|Untranched|3|1.0|150,000,000|5
ITRAXX JAPAN SERIES 31|Untranched|0|0.0|25,000,000|0
ITRAXX JAPAN SERIES 32|Untranched|1|0.3|25,000,000|0
ITRAXX JAPAN SERIES 33|Untranched|1|0.3|25,000,000|0
ITRAXX JAPAN SERIES 34|Untranched|2|0.7|25,000,000|0
ITRAXX JAPAN SERIES 35|Untranched|1|0.3|25,000,000|0
ITRAXX JAPAN SERIES 36|Untranched|2|1.3|25,000,000|0
ITRAXX JAPAN SERIES 37|Untranched|4|2.7|25,000,000|1
ITRAXX JAPAN SERIES 38|Untranched|13|9.7|125,000,000|9
