REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
AMGEN INC.|AMERICAS|Y|6|3.0|12,500,000|2|< 5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|6|3.7|5,000,000|2|< 5%
ANA HOLDINGS INC.|JAPAN|Y|8|4.7|5,000,000|1|> 95%
ANGLO AMERICAN PLC|EUROPE|Y|7|5.3|15,000,000|3|> 95%
ANHEUSER-BUSCH INBEV|EUROPE|Y|7|3.7|15,000,000|2|> 95%
ANTERO RESOURCES CORPORATION|AMERICAS|Y|5|2.0|2,500,000|0|< 5%
APACHE CORPORATION|AMERICAS|Y|6|2.3|17,500,000|4|< 5%
APPLE INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|8|4.7|7,500,000|1|> 95%
ARAMARK SERVICES, INC.|AMERICAS|Y|4|1.7|5,000,000|1|< 5%
ARCELORMITTAL|EUROPE|Y|10|7.0|20,000,000|4|> 95%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|EUROPE|Y|8|6.7|7,500,000|3|> 95%
ARGENTINE REPUBLIC|SOVEREIGN|Y|8|6.3|25,000,000|10|> 95%
ARROW ELECTRONICS, INC.|AMERICAS|Y|5|2.0|10,000,000|2|< 5%
ASHLAND LLC|AMERICAS|Y|7|5.3|2,500,000|1|< 5%
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|EUROPE|Y|9|6.0|25,000,000|5|> 95%
ASSURED GUARANTY MUNICIPAL CORP.|AMERICAS|Y|8|4.7|7,500,000|3|< 5%
ASTRAZENECA PLC|EUROPE|Y|5|2.7|7,500,000|1|> 95%
AT&T INC.|AMERICAS|Y|9|7.0|50,000,000|7|< 5%
ATLANTIA S.P.A.|EUROPE|Y|4|1.3|7,500,000|2|> 95%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|AUSTRALIA NZ|Y|2|0.7|5,000,000|1|> 95%
AUTOZONE, INC.|AMERICAS|Y|6|2.7|7,500,000|1|5-25%
AVIENT CORPORATION|AMERICAS|Y|3|1.3|5,000,000|1|< 5%
AVIS BUDGET GROUP, INC.|AMERICAS|Y|8|5.0|12,500,000|5|< 5%
AVIVA PLC|EUROPE|Y|9|5.3|17,500,000|3|> 95%
AVNET, INC.|AMERICAS|Y|6|2.3|10,000,000|2|< 5%
AVON PRODUCTS, INC.|AMERICAS|Y|4|1.7|5,000,000|1|< 5%
AXA|EUROPE|Y|8|5.7|22,500,000|3|> 95%
BAE SYSTEMS PLC|EUROPE|Y|7|2.7|12,500,000|2|> 95%
BAIDU, INC.|ASIA EX-JAPAN|Y|4|2.0|2,500,000|0|> 95%
BALL CORPORATION|AMERICAS|Y|6|4.3|2,500,000|1|< 5%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|EUROPE|Y|2|1.0|2,500,000|0|> 95%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|EUROPE|Y|7|5.7|20,000,000|2|> 95%
BANCO BPM SOCIETA' PER AZIONI|EUROPE||3|1.7|2,500,000|0|> 95%
BANCO COMERCIAL PORTUGUES, S.A.|EUROPE|Y|1|0.7|2,500,000|0|> 95%
BANCO DE SABADELL, S.A.|EUROPE||2|0.7|2,500,000|0|> 95%
BANCO DO BRASIL S.A.|AMERICAS|Y|1|0.3|2,500,000|0|> 95%
BANCO SANTANDER, S.A.|EUROPE|Y|9|6.3|50,000,000|4|> 95%
BANK OF AMERICA CORPORATION|AMERICAS|Y|8|5.3|50,000,000|5|< 5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|2|1.0|15,000,000|1|> 95%
BANK OF INDIA|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
BARCLAYS BANK PLC|EUROPE|Y|7|4.7|25,000,000|2|> 95%
BARCLAYS PLC|EUROPE|Y|7|5.0|50,000,000|4|> 95%
BARRICK GOLD CORPORATION|AMERICAS|Y|5|2.0|10,000,000|2|< 5%
BASF SE|EUROPE|Y|9|4.0|15,000,000|3|> 95%
BATH & BODY WORKS, INC.|AMERICAS||9|4.3|12,500,000|4|< 5%
BAUSCH HEALTH COMPANIES INC.|AMERICAS|Y|5|2.7|7,500,000|2|< 5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|5|2.3|10,000,000|2|< 5%
BAYER AKTIENGESELLSCHAFT|EUROPE|Y|8|4.7|12,500,000|2|> 95%
BAYERISCHE LANDESBANK|EUROPE|Y|2|0.7|2,500,000|0|> 95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|EUROPE|Y|8|4.0|20,000,000|3|> 95%
BEAZER HOMES USA, INC.|AMERICAS|Y|6|4.0|10,000,000|4|< 5%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|4|1.3|7,500,000|1|< 5%
BERTELSMANN SE & CO. KGAA|EUROPE|Y|5|1.7|5,000,000|1|> 95%
BEST BUY CO., INC.|AMERICAS|Y|6|3.0|10,000,000|2|< 5%
BHP GROUP LIMITED|AUSTRALIA NZ|Y|3|1.0|2,500,000|0|> 95%
BLOCK FINANCIAL LLC|AMERICAS|Y|3|1.0|5,000,000|2|< 5%
BNP PARIBAS|EUROPE|Y|10|7.7|75,000,000|6|> 95%
BOC AVIATION LIMITED|ASIA EX-JAPAN|Y|3|1.7|2,500,000|0|> 95%
BOMBARDIER INC.|AMERICAS|Y|6|3.0|7,500,000|3|< 5%
BOPARAN FINANCE PLC|EUROPE|Y|8|3.7|7,500,000|3|> 95%
BORGWARNER INC.|AMERICAS|Y|7|4.0|5,000,000|1|< 5%
BOSTON PROPERTIES LIMITED PARTNERSHIP|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|6|3.0|10,000,000|2|< 5%
BOUYGUES|EUROPE|Y|5|2.3|7,500,000|2|> 95%
BOYD GAMING CORPORATION|AMERICAS|Y|7|6.3|5,000,000|2|< 5%
BP P.L.C.|EUROPE|Y|8|4.3|50,000,000|5|> 95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|5|2.0|10,000,000|1|< 5%
BRITISH AIRWAYS PLC|EUROPE|Y|0|0.0|2,500,000|0|> 95%
BRITISH AMERICAN TOBACCO P.L.C.|EUROPE|Y|9|5.7|22,500,000|3|> 95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|EUROPE|Y|9|6.3|20,000,000|4|> 95%
BROADCOM INC.|AMERICAS||2|1.0|5,000,000|1|< 5%
BROOKFIELD ASSET MANAGEMENT INC.|AMERICAS||1|0.3|5,000,000|0|< 5%
CABLE & WIRELESS LIMITED|EUROPE|Y|4|1.3|2,500,000|0|> 95%
CALPINE CORPORATION|AMERICAS|Y|6|3.3|15,000,000|4|< 5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|8|4.0|15,000,000|3|< 5%
CANADIAN NATURAL RESOURCES LIMITED|AMERICAS|Y|3|1.0|12,500,000|2|< 5%
CAPGEMINI|EUROPE|Y|1|0.3|2,500,000|0|> 95%
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|AMERICAS|Y|6|2.0|7,500,000|1|< 5%
CAPITAL ONE FINANCIAL CORPORATION|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
CARDINAL HEALTH, INC.|AMERICAS|Y|6|3.7|12,500,000|3|< 5%
CARE UK SOCIAL CARE LIMITED|EUROPE||3|1.0|2,500,000|0|> 95%
CARLSBERG BREWERIES A/S|EUROPE|Y|8|3.0|12,500,000|2|> 95%
CARNIVAL CORPORATION|AMERICAS|Y|7|6.0|17,500,000|5|< 5%
CARREFOUR|EUROPE|Y|10|7.3|25,000,000|5|> 95%
CASINO GUICHARD-PERRACHON|EUROPE|Y|9|7.0|25,000,000|8|> 95%
CATERPILLAR INC.|AMERICAS|Y|4|1.7|10,000,000|2|< 5%
CCO HOLDINGS, LLC|AMERICAS|Y|5|3.7|5,000,000|1|< 5%
CECONOMY AG|EUROPE|Y|2|1.3|2,500,000|1|> 95%
CELLNEX TELECOM, S.A.|EUROPE|Y|10|8.7|22,500,000|6|> 95%
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|1|0.3|2,500,000|0|> 95%
CENTRAL JAPAN RAILWAY COMPANY|JAPAN|Y|1|0.3|2,500,000|0|> 95%
CENTRICA PLC|EUROPE|Y|7|3.0|15,000,000|3|> 95%
CHINA CINDA (HK) HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN|Y|3|1.7|2,500,000|0|> 95%
CHINA CONSTRUCTION BANK CORPORATION|ASIA EX-JAPAN|Y|5|3.3|5,000,000|1|> 95%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN|Y|1|0.3|5,000,000|1|> 95%
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|ASIA EX-JAPAN|Y|5|3.3|2,500,000|0|> 95%
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|ASIA EX-JAPAN|Y|3|2.0|2,500,000|0|> 95%
CHINA ORIENT ASSET MANAGEMENT (INTERNATIONAL) HOLDING LIMITED|ASIA EX-JAPAN|Y|2|1.3|2,500,000|0|> 95%
CHINA OVERSEAS LAND & INVESTMENT LIMITED|ASIA EX-JAPAN|Y|0|0.0|2,500,000|0|> 95%
CHINA PETROCHEMICAL CORPORATION|ASIA EX-JAPAN|Y|5|3.0|2,500,000|1|> 95%
CHUBB INA HOLDINGS INC.|AMERICAS||0|0.0|2,500,000|0|< 5%
CHUBB LIMITED|AMERICAS|Y|4|2.0|5,000,000|2|< 5%
CIGNA CORPORATION|AMERICAS|Y|1|0.7|2,500,000|0|< 5%
CIGNA HOLDING COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
CIRSA FINANCE INTERNATIONAL S.A R.L.|EUROPE||3|1.3|2,500,000|0|> 95%
CISCO SYSTEMS, INC.|AMERICAS|Y|6|2.7|5,000,000|1|< 5%
CITIC LIMITED|ASIA EX-JAPAN|Y|4|2.7|2,500,000|0|> 95%
CITIGROUP INC.|AMERICAS|Y|6|4.3|50,000,000|3|< 5%
CLARIANT AG|EUROPE|Y|5|2.0|5,000,000|1|> 95%
CLEVELAND-CLIFFS INC.|AMERICAS|Y|6|4.0|10,000,000|5|< 5%
CMA CGM|EUROPE|Y|9|5.3|7,500,000|3|> 95%
CNH INDUSTRIAL N.V.|EUROPE|Y|8|3.7|15,000,000|4|> 95%
CNOOC LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|0|> 95%
COMCAST CORPORATION|AMERICAS|Y|7|4.3|17,500,000|2|< 5%
COMISION FEDERAL DE ELECTRICIDAD|AMERICAS||1|0.3|2,500,000|0|> 95%
COMMERZBANK AKTIENGESELLSCHAFT|EUROPE|Y|10|6.7|22,500,000|4|> 95%
COMMONWEALTH BANK OF AUSTRALIA|AUSTRALIA NZ|Y|3|1.3|5,000,000|1|> 95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN|Y|3|1.3|10,000,000|0|> 95%
COMMUNITY HEALTH SYSTEMS, INC.|AMERICAS|Y|7|5.0|10,000,000|4|< 5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE|Y|7|2.3|10,000,000|2|> 95%
COMPAGNIE FINANCIERE MICHELIN SA|EUROPE||4|1.3|7,500,000|2|> 95%
COMPASS GROUP PLC|EUROPE|Y|3|1.0|5,000,000|1|> 95%
CONAGRA BRANDS, INC.|AMERICAS|Y|7|3.3|15,000,000|4|< 5%
CONOCOPHILLIPS|AMERICAS|Y|6|2.7|10,000,000|2|< 5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
CONSTELLATION ENERGY GENERATION, LLC|AMERICAS||0|0.0|2,500,000|0|< 5%
CONSTELLIUM SE|EUROPE|Y|7|3.7|5,000,000|1|> 95%
CONTINENTAL AKTIENGESELLSCHAFT|EUROPE|Y|9|4.7|15,000,000|3|> 95%
COOEPERATIEVE RABOBANK U.A.|EUROPE|Y|7|4.7|15,000,000|2|> 95%
COOPER TIRE & RUBBER COMPANY|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
CORNING INCORPORATED|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
COUNTRY GARDEN HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN|Y|2|1.0|2,500,000|0|> 95%
COVIVIO|EUROPE||1|0.3|2,500,000|0|> 95%
COX COMMUNICATIONS, INC.|AMERICAS|Y|7|2.3|7,500,000|2|< 5%
CP FOODS CAPITAL LIMITED|ASIA EX-JAPAN||0|0.0|2,500,000|0|> 95%
CREDIT AGRICOLE SA|EUROPE|Y|8|4.3|50,000,000|4|> 95%
CREDIT SUISSE GROUP AG|EUROPE|Y|10|5.7|50,000,000|4|> 95%
CROWN EUROPEAN HOLDINGS|EUROPE|Y|8|4.0|2,500,000|1|> 95%
CSC HOLDINGS, LLC|AMERICAS|Y|4|2.3|5,000,000|2|< 5%
CSX CORPORATION|AMERICAS|Y|4|1.3|7,500,000|1|< 5%
CVS HEALTH CORPORATION|AMERICAS|Y|5|2.7|10,000,000|2|< 5%
CZECH REPUBLIC|SOVEREIGN|Y|2|0.7|2,500,000|0|> 95%
D.R. HORTON, INC.|AMERICAS|Y|4|1.7|7,500,000|1|< 5%
DANAHER CORPORATION|AMERICAS|Y|8|4.7|5,000,000|1|< 5%
DANONE|EUROPE|Y|8|3.3|7,500,000|2|> 95%
DANSKE BANK A/S|EUROPE|Y|6|4.3|7,500,000|2|> 95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|6|2.7|7,500,000|2|< 5%
DAVITA INC.|AMERICAS|Y|6|4.0|2,500,000|1|< 5%
DBS BANK LTD.|ASIA EX-JAPAN|Y|4|2.0|2,500,000|0|> 95%
DEERE & COMPANY|AMERICAS|Y|5|1.7|5,000,000|1|< 5%
DELL INC.|AMERICAS|Y|6|4.3|17,500,000|4|< 5%
DELTA AIR LINES, INC.|AMERICAS|Y|6|4.3|10,000,000|3|< 5%
DEUTSCHE BANK AKTIENGESELLSCHAFT|EUROPE|Y|10|9.0|50,000,000|6|> 95%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|EUROPE|Y|8|6.7|22,500,000|7|> 95%
DEUTSCHE POST AG|EUROPE|Y|3|1.0|2,500,000|0|> 95%
DEUTSCHE TELEKOM AG|EUROPE|Y|10|4.7|10,000,000|2|> 95%
DEVON ENERGY CORPORATION|AMERICAS|Y|8|4.3|50,000,000|5|< 5%
DIAGEO PLC|EUROPE|Y|7|2.7|5,000,000|1|> 95%
DIAMOND SPORTS GROUP, LLC|AMERICAS|Y|4|1.7|2,500,000|0|< 5%
DISH DBS CORPORATION|AMERICAS|Y|7|5.7|15,000,000|5|< 5%
DNB BANK ASA|EUROPE||0|0.0|2,500,000|0|> 95%
DOMINION ENERGY, INC.|AMERICAS|Y|5|2.7|12,500,000|1|< 5%
DOMTAR CORPORATION|AMERICAS|Y|4|2.7|10,000,000|2|< 5%
DUBAI|SOVEREIGN|Y|2|0.7|2,500,000|0|> 95%
DUFRY ONE B.V.|EUROPE|Y|1|0.3|2,500,000|0|> 95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|4|1.7|7,500,000|2|< 5%
E. I. DU PONT DE NEMOURS AND COMPANY|AMERICAS|Y|3|1.0|5,000,000|1|< 5%
E.ON SE|EUROPE|Y|9|4.3|15,000,000|2|> 95%
EAST JAPAN RAILWAY COMPANY|JAPAN|Y|1|0.3|2,500,000|0|> 95%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|5|1.7|12,500,000|2|< 5%
EDP - ENERGIAS DE PORTUGAL, S.A.|EUROPE|Y|2|1.3|10,000,000|1|> 95%
EDP FINANCE B.V.|EUROPE|Y|11|5.3|15,000,000|2|> 95%
EG GLOBAL FINANCE PLC|EUROPE||0|0.0|2,500,000|0|> 95%
ELECTRICITE DE FRANCE|EUROPE|Y|10|8.7|75,000,000|7|> 95%
ELI LILLY AND COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
ELIS|EUROPE|Y|7|5.0|5,000,000|2|> 95%
ELO|EUROPE||9|4.7|17,500,000|5|> 95%
ENBRIDGE INC.|AMERICAS|Y|6|3.3|15,000,000|3|< 5%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|EUROPE|Y|6|2.3|7,500,000|2|> 95%
ENEL S.P.A.|EUROPE|Y|11|6.0|25,000,000|4|> 95%
ENEOS HOLDINGS, INC.|JAPAN||0|0.0|2,500,000|0|> 95%
ENERGY TRANSFER LP|AMERICAS||8|4.0|10,000,000|2|< 5%
ENGIE|EUROPE|Y|5|2.0|17,500,000|2|> 95%
ENI S.P.A.|EUROPE|Y|8|3.7|10,000,000|2|> 95%
EQT CORPORATION|AMERICAS||2|0.7|2,500,000|0|< 5%
EQUINIX, INC.|AMERICAS|Y|3|1.3|2,500,000|0|< 5%
EQUINOR ASA|EUROPE|Y|5|1.7|5,000,000|1|> 95%
ERP OPERATING LIMITED PARTNERSHIP|AMERICAS|Y|2|0.7|2,500,000|1|< 5%
ESKOM HOLDINGS SOC LIMITED|EUROPE|Y|3|1.0|2,500,000|0|> 95%
EXELON CORPORATION|AMERICAS|Y|5|2.3|5,000,000|1|5-25%
EXPEDIA GROUP, INC.|AMERICAS|Y|4|1.7|12,500,000|2|< 5%
EXPERIAN FINANCE PLC|EUROPE|Y|3|1.0|5,000,000|1|> 95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN|Y|2|1.0|2,500,000|0|> 95%
EXXON MOBIL CORPORATION|AMERICAS||2|0.7|2,500,000|0|< 5%
FAURECIA|EUROPE|Y|10|6.7|7,500,000|3|> 95%
FCC AQUALIA, S.A.|EUROPE|Y|4|2.3|2,500,000|0|> 95%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN|Y|4|1.3|50,000,000|1|> 95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|10|9.7|350,000,000|35|> 95%
FEDEX CORPORATION|AMERICAS|Y|8|3.7|7,500,000|1|< 5%
FINANCIERE QUICK|EUROPE|Y|1|0.3|2,500,000|0|> 95%
FIRST DATA CORPORATION|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
FIRST-CITIZENS BANK & TRUST COMPANY|AMERICAS||6|2.0|5,000,000|1|< 5%
FIRSTENERGY CORP.|AMERICAS|Y|3|1.3|7,500,000|2|< 5%
FISERV, INC.|AMERICAS|Y|5|2.0|2,500,000|0|< 5%
FORD MOTOR COMPANY|AMERICAS|Y|8|7.0|50,000,000|10|< 5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||6|3.7|15,000,000|3|< 5%
FORTUM OYJ|EUROPE|Y|6|2.3|15,000,000|4|> 95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|5|2.0|12,500,000|3|< 5%
FRENCH REPUBLIC|SOVEREIGN|Y|6|3.3|75,000,000|3|> 95%
FRESENIUS SE & CO. KGAA|EUROPE|Y|1|0.3|2,500,000|0|> 95%
FUJITSU LIMITED|JAPAN|Y|5|2.3|2,500,000|0|> 95%
GALP ENERGIA, SGPS, S.A.|EUROPE|Y|3|1.0|2,500,000|1|> 95%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE|Y|5|3.3|2,500,000|0|> 95%
GATX CORPORATION|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
GAZPROM PUBLIC JOINT STOCK COMPANY|EUROPE|Y|9|6.0|15,000,000|2|> 95%
GECINA|EUROPE|Y|1|0.3|2,500,000|0|> 95%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|7|5.3|22,500,000|4|< 5%
GENERAL MILLS, INC.|AMERICAS|Y|4|1.3|12,500,000|2|< 5%
GENERAL MOTORS COMPANY|AMERICAS|Y|8|5.7|50,000,000|10|< 5%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|6|3.3|5,000,000|1|< 5%
GKN HOLDINGS LIMITED|EUROPE|Y|3|1.0|5,000,000|1|> 95%
GLAXOSMITHKLINE PLC|EUROPE|Y|6|2.0|5,000,000|1|> 95%
GLENCORE INTERNATIONAL AG|EUROPE|Y|7|5.3|50,000,000|6|> 95%
GRIFOLS, S.A.|EUROPE|Y|8|4.3|5,000,000|2|> 95%
GS CALTEX CORPORATION|ASIA EX-JAPAN|Y|3|1.3|2,500,000|0|> 95%
HALLIBURTON COMPANY|AMERICAS|Y|8|4.0|17,500,000|3|< 5%
HAMMERSON PLC|EUROPE|Y|3|1.0|2,500,000|0|> 95%
HANKYU HANSHIN HOLDINGS, INC.|JAPAN|Y|0|0.0|2,500,000|0|> 95%
HANNOVER RUECK SE|EUROPE|Y|6|5.0|10,000,000|2|> 95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|EUROPE|Y|7|4.7|2,500,000|1|> 95%
HCA INC.|AMERICAS|Y|6|4.7|12,500,000|5|< 5%
HD SUPPLY, INC.|AMERICAS|Y|7|3.7|2,500,000|1|< 5%
HEALTHPEAK PROPERTIES, INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
HEATHROW FUNDING LIMITED|EUROPE||2|0.7|2,500,000|0|> 95%
HEIDELBERGCEMENT AG|EUROPE|Y|9|6.0|15,000,000|4|> 95%
HEINEKEN N.V.|EUROPE|Y|7|3.0|5,000,000|1|> 95%
HELLENIC REPUBLIC|SOVEREIGN|Y|6|3.7|17,500,000|2|> 95%
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|EUROPE|Y|0|0.0|2,500,000|0|> 95%
HENKEL AG & CO. KGAA|EUROPE|Y|5|2.7|5,000,000|1|> 95%
HESS CORPORATION|AMERICAS|Y|8|4.0|20,000,000|4|< 5%
HITACHI, LTD.|JAPAN|Y|5|2.3|2,500,000|0|> 95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE|Y|6|3.3|5,000,000|1|> 95%
HOLCIM AG|EUROPE||6|3.0|10,000,000|3|> 95%
HONDA MOTOR CO., LTD.|JAPAN|Y|10|4.7|5,000,000|1|> 95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|3|1.7|7,500,000|1|< 5%
HOST HOTELS & RESORTS, L.P.|AMERICAS|Y|5|2.0|7,500,000|2|< 5%
HOWMET AEROSPACE INC.|AMERICAS|Y|4|2.3|5,000,000|1|< 5%
HP INC.|AMERICAS|Y|7|5.0|15,000,000|3|< 5%
HSBC BANK PLC|EUROPE|Y|6|2.3|7,500,000|1|> 95%
HSBC HOLDINGS PLC|EUROPE|Y|9|7.7|50,000,000|6|> 95%
HUMANA INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
HUNGARY|SOVEREIGN|Y|4|2.0|5,000,000|1|> 95%
HUNTSMAN INTERNATIONAL LLC|AMERICAS|Y|4|1.7|2,500,000|0|< 5%
HUTCHISON WHAMPOA LIMITED|ASIA EX-JAPAN|Y|0|0.0|2,500,000|0|> 95%
HYUNDAI MOTOR COMPANY|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
IBERDROLA, S.A.|EUROPE|Y|9|5.0|17,500,000|3|> 95%
ICELAND BONDCO PLC|EUROPE|Y|11|8.7|10,000,000|4|> 95%
ICICI BANK LIMITED|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
IMPERIAL BRANDS PLC|EUROPE|Y|9|4.7|17,500,000|3|> 95%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|6|4.0|7,500,000|1|> 95%
INEOS GROUP HOLDINGS S.A.|EUROPE|Y|6|4.3|2,500,000|1|> 95%
ING BANK N.V.|EUROPE|Y|3|1.7|5,000,000|1|> 95%
ING GROEP N.V.|EUROPE|Y|8|5.3|22,500,000|3|> 95%
INTERNATIONAL BUSINESS MACHINES CORPORATION|AMERICAS|Y|6|3.7|12,500,000|2|< 5%
INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.|EUROPE||4|2.3|2,500,000|0|> 95%
INTERNATIONAL GAME TECHNOLOGY PLC|EUROPE|Y|8|5.3|7,500,000|2|> 95%
