REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
BANCO BILBAO VIZCAYA           ARGENTARIA, SOCIEDAD ANONIMA|EUROPE|Y|11|9.3|10,000,000|2|>95%
BANCO BPM SOCIETA' PER AZIONI|EUROPE||2|1.0|2,500,000|0|>95%
BANCO COMERCIAL PORTUGUES,           S.A.|EUROPE|Y|5|2.7|2,500,000|0|>95%
BANCO DE SABADELL, S.A.|EUROPE||1|0.7|2,500,000|0|>95%
BANCO SANTANDER, S.A.|EUROPE|Y|10|8.3|10,000,000|2|>95%
BANK OF AMERICA CORPORATION|AMERICAS|Y|8|8.0|15,000,000|1|<5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN|Y|12|8.3|10,000,000|1|>95%
BANK OF INDIA|ASIA EX-JAPAN|Y|4|3.0|2,500,000|0|>95%
BANK OF SCOTLAND PLC|EUROPE||2|0.7|2,500,000|0|>95%
BANQUE CENTRALE DE TUNISIE|EUROPE||1|0.3|2,500,000|0|>95%
BARCLAYS BANK PLC|EUROPE|Y|11|8.0|20,000,000|2|>95%
BARCLAYS PLC|EUROPE|Y|10|8.0|17,500,000|3|>95%
BARRICK GOLD CORPORATION|AMERICAS|Y|9|7.7|10,000,000|3|<5%
BASF SE|EUROPE|Y|9|6.0|5,000,000|1|>95%
BAUSCH HEALTH COMPANIES INC.|AMERICAS||6|3.7|2,500,000|1|<5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|8|5.7|5,000,000|1|<5%
BAYER AKTIENGESELLSCHAFT|EUROPE|Y|10|8.0|7,500,000|1|>95%
BAYERISCHE LANDESBANK|EUROPE|Y|0|0.0|2,500,000|0|>95%
BAYERISCHE MOTOREN WERKE           AKTIENGESELLSCHAFT|EUROPE|Y|12|9.7|10,000,000|2|>95%
BEAM SUNTORY INC.|AMERICAS||1|0.7|2,500,000|0|<5%
BEAZER HOMES USA, INC.|AMERICAS|Y|9|8.0|7,500,000|3|<5%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|10|8.3|7,500,000|1|<5%
BERTELSMANN SE &CO. KGAA|EUROPE|Y|10|6.7|5,000,000|1|>95%
BEST BUY CO., INC.|AMERICAS|Y|8|7.0|5,000,000|1|<5%
BHP GROUP LIMITED|AUSTRALIA NZ||5|1.7|5,000,000|0|>95%
BLOCK FINANCIAL LLC|AMERICAS|Y|8|6.3|2,500,000|0|<5%
BNP PARIBAS|EUROPE|Y|10|8.3|17,500,000|2|>95%
BOMBARDIER INC.|AMERICAS|Y|9|7.7|10,000,000|3|<5%
BOPARAN FINANCE PLC|EUROPE|Y|9|8.0|5,000,000|1|>95%
BORGWARNER INC.|AMERICAS||1|0.3|2,500,000|0|<5%
BOSTON PROPERTIES LIMITED           PARTNERSHIP|AMERICAS||3|1.0|2,500,000|0|<5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|9|6.3|5,000,000|0|<5%
BOUYGUES|EUROPE|Y|9|6.0|5,000,000|1|>95%
BOYD GAMING CORPORATION|AMERICAS|Y|8|4.7|2,500,000|1|<5%
BP P.L.C.|EUROPE|Y|10|7.0|10,000,000|1|>95%
BRISA - CONCESSAO RODOVIARIA,           S.A.|EUROPE|Y|4|1.3|2,500,000|0|>95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|7|6.7|5,000,000|1|<5%
BRITISH AIRWAYS PLC|EUROPE|Y|6|2.0|2,500,000|0|>95%
BRITISH AMERICAN TOBACCO           P.L.C.|EUROPE|Y|11|7.3|7,500,000|1|>95%
BRITISH TELECOMMUNICATIONS           PUBLIC LIMITED COMPANY|EUROPE|Y|10|8.0|7,500,000|1|>95%
CA, INC.|AMERICAS|Y|0|0.0|2,500,000|0|<5%
CABLE &WIRELESS LIMITED|EUROPE|Y|7|4.7|2,500,000|0|>95%
CAIXA GERAL DE DEPOSITOS S.A.|EUROPE||1|0.3|2,500,000|0|>95%
CAIXABANK, S.A.|EUROPE||1|1.0|2,500,000|0|>95%
CALIFORNIA RESOURCES           CORPORATION|AMERICAS|Y|4|2.0|2,500,000|0|<5%
CALPINE CORPORATION|AMERICAS|Y|8|5.0|2,500,000|1|<5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|8|7.3|7,500,000|1|<5%
CANADIAN NATIONAL RAILWAY           COMPANY|AMERICAS||1|0.3|2,500,000|0|<5%
CANADIAN NATURAL RESOURCES           LIMITED|AMERICAS|Y|10|8.0|7,500,000|2|<5%
CANON INC.|JAPAN||0|0.0|2,500,000|0|>95%
CAPGEMINI|EUROPE||1|0.3|2,500,000|0|>95%
CAPITAL ONE BANK (USA),           NATIONAL ASSOCIATION|AMERICAS|Y|6|4.0|2,500,000|0|<5%
CAPITAL ONE FINANCIAL           CORPORATION|AMERICAS|Y|1|0.7|2,500,000|0|<5%
CAPITALAND LIMITED|ASIA EX-JAPAN|Y|6|3.0|2,500,000|0|>95%
CARDINAL HEALTH, INC.|AMERICAS|Y|9|7.7|7,500,000|2|<5%
CARE UK HEALTH &SOCIAL           CARE PLC|EUROPE|Y|7|4.7|2,500,000|1|>95%
CARLSBERG BREWERIES A/S|EUROPE|Y|8|5.7|5,000,000|0|>95%
CARNIVAL CORPORATION|AMERICAS|Y|8|6.3|2,500,000|1|<5%
CARREFOUR|EUROPE|Y|9|7.7|12,500,000|2|>95%
CASINO GUICHARD-PERRACHON|EUROPE|Y|12|10.7|10,000,000|6|>95%
CATERPILLAR FINANCIAL           SERVICES CORPORATION|AMERICAS||4|1.7|2,500,000|0|<5%
CATERPILLAR INC.|AMERICAS|Y|8|7.3|7,500,000|1|<5%
CBS CORPORATION|AMERICAS|Y|8|6.7|5,000,000|1|<5%
CCO HOLDINGS, LLC|AMERICAS|Y|7|5.0|2,500,000|1|<5%
CECONOMY AG|EUROPE|Y|10|7.0|7,500,000|1|>95%
CELLNEX TELECOM, S.A.|EUROPE|Y|5|3.0|2,500,000|1|>95%
CEMEX, SOCIEDAD ANONIMA           BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|4|1.7|2,500,000|0|>95%
CENTRICA PLC|EUROPE|Y|9|7.3|7,500,000|1|>95%
CENTURYLINK, INC.|AMERICAS|Y|9|8.0|17,500,000|5|<5%
CERVED GROUP S.P.A.|EUROPE|Y|1|0.3|2,500,000|0|>95%
CHESAPEAKE ENERGY CORPORATION|AMERICAS|Y|11|8.7|12,500,000|4|<5%
CHEVRON CORPORATION|AMERICAS||3|1.0|2,500,000|0|<5%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN|Y|8|4.7|5,000,000|0|>95%
CHUBB INA HOLDINGS INC.|AMERICAS||2|0.7|2,500,000|0|<5%
CHUBB LIMITED|AMERICAS|Y|6|3.7|2,500,000|0|<5%
CHUBU ELECTRIC POWER COMPANY,           INCORPORATED|JAPAN||0|0.0|2,500,000|0|>95%
CIGNA CORPORATION|AMERICAS|Y|2|0.7|2,500,000|0|<5%
CIR S.P.A. - COMPAGNIE           INDUSTRIALI RIUNITE|EUROPE||1|0.3|2,500,000|0|>95%
CISCO SYSTEMS, INC.|AMERICAS|Y|7|3.3|2,500,000|0|<5%
CIT GROUP INC.|AMERICAS|Y|7|5.0|2,500,000|1|<5%
CITIGROUP INC.|AMERICAS|Y|9|6.3|15,000,000|1|<5%
CLARIANT AG|EUROPE|Y|6|3.3|2,500,000|1|>95%
CMA CGM|EUROPE|Y|9|7.3|5,000,000|2|>95%
CNH INDUSTRIAL N.V.|EUROPE|Y|8|7.7|5,000,000|1|>95%
CNOOC LIMITED|ASIA EX-JAPAN|Y|8|4.3|2,500,000|0|>95%
COLGATE-PALMOLIVE COMPANY|AMERICAS||1|0.3|2,500,000|0|<5%
COMCAST CORPORATION|AMERICAS|Y|8|5.3|5,000,000|0|<5%
COMMERZBANK           AKTIENGESELLSCHAFT|EUROPE|Y|11|9.3|15,000,000|2|>95%
COMMONWEALTH BANK OF           AUSTRALIA|AUSTRALIA NZ|Y|8|7.0|15,000,000|2|>95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN|Y|8|6.7|5,000,000|1|>95%
COMMUNITY HEALTH SYSTEMS,           INC.|AMERICAS|Y|7|5.0|2,500,000|1|<5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE|Y|10|6.7|5,000,000|1|>95%
COMPAGNIE FINANCIERE MICHELIN           SCMA|EUROPE|Y|9|5.3|5,000,000|0|>95%
COMPASS GROUP PLC|EUROPE|Y|9|4.0|2,500,000|0|>95%
CONAGRA BRANDS, INC.|AMERICAS|Y|8|8.0|12,500,000|2|<5%
CONOCOPHILLIPS|AMERICAS|Y|7|6.7|5,000,000|1|<5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|1|0.3|2,500,000|0|<5%
CONSTELLIUM N.V.|EUROPE|Y|6|5.3|2,500,000|0|>95%
CONTINENTAL           AKTIENGESELLSCHAFT|EUROPE|Y|9|6.0|5,000,000|1|>95%
COOEPERATIEVE RABOBANK U.A.|EUROPE|Y|8|6.7|7,500,000|1|>95%
COOPER TIRE &RUBBER           COMPANY|AMERICAS|Y|6|4.0|2,500,000|0|<5%
CORNING INCORPORATED|AMERICAS||1|0.3|2,500,000|0|<5%
COUNTRY GARDEN HOLDINGS           COMPANY LIMITED|ASIA EX-JAPAN||6|3.0|2,500,000|0|>95%
COX COMMUNICATIONS, INC.|AMERICAS|Y|8|6.7|2,500,000|1|<5%
CREDIT AGRICOLE SA|EUROPE|Y|10|7.3|10,000,000|2|>95%
CREDIT SUISSE GROUP AG|EUROPE|Y|9|7.7|10,000,000|1|>95%
CROWN RESORTS LIMITED|AUSTRALIA NZ|Y|1|0.3|2,500,000|0|>95%
CSC HOLDINGS, LLC|AMERICAS|Y|8|5.3|2,500,000|1|<5%
CSX CORPORATION|AMERICAS|Y|8|5.0|5,000,000|0|<5%
CVS HEALTH CORPORATION|AMERICAS|Y|9|7.3|15,000,000|1|<5%
D.R. HORTON, INC.|AMERICAS|Y|8|5.7|5,000,000|1|<5%
DAIMLER AG|EUROPE|Y|12|10.0|17,500,000|3|>95%
DAIWA SECURITIES GROUP INC.|JAPAN||0|0.0|2,500,000|0|>95%
DANONE|EUROPE|Y|9|5.7|5,000,000|0|>95%
DANSKE BANK A/S|EUROPE|Y|10|7.0|5,000,000|1|>95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|8|5.7|2,500,000|0|<5%
DAVITA INC.|AMERICAS|Y|5|2.7|2,500,000|0|<5%
DBS BANK LTD.|ASIA EX-JAPAN|Y|6|4.0|5,000,000|0|>95%
DEAN FOODS COMPANY|AMERICAS|Y|10|7.0|7,500,000|3|<5%
DEERE &COMPANY|AMERICAS|Y|8|7.3|7,500,000|1|<5%
DELL INC.|AMERICAS|Y|9|8.3|15,000,000|2|<5%
DELTA AIR LINES, INC.|AMERICAS|Y|5|3.7|2,500,000|0|<5%
DEUTSCHE BANK           AKTIENGESELLSCHAFT|EUROPE|Y|11|10.0|50,000,000|6|>95%
DEUTSCHE LUFTHANSA           AKTIENGESELLSCHAFT|EUROPE|Y|12|6.3|5,000,000|1|>95%
DEUTSCHE POST AG|EUROPE|Y|6|3.3|2,500,000|0|>95%
DEUTSCHE TELEKOM AG|EUROPE|Y|10|8.7|10,000,000|1|>95%
DEVON ENERGY CORPORATION|AMERICAS|Y|9|8.0|10,000,000|2|<5%
DEXIA CREDIT LOCAL|EUROPE||0|0.0|2,500,000|0|>95%
DIAGEO PLC|EUROPE|Y|9|4.0|2,500,000|0|>95%
DIAMOND OFFSHORE DRILLING,           INC.|AMERICAS|Y|7|5.3|5,000,000|1|<5%
DILLARD'S, INC.|AMERICAS|Y|4|1.7|2,500,000|0|<5%
DISH DBS CORPORATION|AMERICAS|Y|9|7.0|15,000,000|4|<5%
DMG MORI CO., LTD.|JAPAN||0|0.0|2,500,000|0|>95%
DNB BANK ASA|EUROPE||4|1.7|2,500,000|0|>95%
DOMINION ENERGY, INC.|AMERICAS|Y|8|4.7|2,500,000|0|<5%
DOMTAR CORPORATION|AMERICAS|Y|8|7.3|5,000,000|1|<5%
DRY MIX SOLUTIONS           INVESTISSEMENTS|EUROPE|Y|3|1.0|2,500,000|0|>95%
DUBAI|SOVEREIGN|Y|9|5.0|2,500,000|0|>95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|7|3.3|2,500,000|0|<5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|8|6.7|5,000,000|1|<5%
E. I. DU PONT DE NEMOURS AND           COMPANY|AMERICAS|Y|9|5.0|2,500,000|0|<5%
E.ON SE|EUROPE|Y|10|5.0|2,500,000|0|>95%
EAST JAPAN RAILWAY COMPANY|JAPAN||0|0.0|2,500,000|0|>95%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|8|6.7|7,500,000|1|<5%
EDP - ENERGIAS DE PORTUGAL,           S.A.|EUROPE|Y|7|3.7|2,500,000|0|>95%
EDP FINANCE B.V.|EUROPE|Y|7|4.7|2,500,000|1|>95%
EILEME 2 AB (PUBL)|EUROPE|Y|1|0.3|2,500,000|0|>95%
ELECTRICITE DE FRANCE|EUROPE|Y|11|8.3|12,500,000|1|>95%
ELI LILLY AND COMPANY|AMERICAS||1|0.3|2,500,000|0|<5%
ELIS|EUROPE|Y|8|4.3|2,500,000|1|>95%
ENBRIDGE INC.|AMERICAS|Y|10|8.7|10,000,000|1|<5%
ENBW ENERGIE           BADEN-WUERTTEMBERG AG|EUROPE|Y|2|0.7|2,500,000|0|>95%
ENCANA CORPORATION|AMERICAS|Y|9|8.0|10,000,000|2|<5%
ENDESA, S.A.|EUROPE|Y|0|0.0|2,500,000|0|>95%
ENEL S.P.A.|EUROPE|Y|11|8.3|12,500,000|2|>95%
ENERGY TRANSFER LP|AMERICAS||2|1.3|2,500,000|0|<5%
ENERGY TRANSFER OPERATING,           L.P.|AMERICAS||8|5.7|5,000,000|1|<5%
ENGIE|EUROPE|Y|8|5.0|5,000,000|0|>95%
ENI S.P.A.|EUROPE|Y|10|6.0|5,000,000|1|>95%
EQUINIX, INC.|AMERICAS|Y|3|2.0|2,500,000|0|<5%
EQUINOR ASA|EUROPE||7|3.7|2,500,000|0|>95%
ERP OPERATING LIMITED           PARTNERSHIP|AMERICAS|Y|5|3.7|2,500,000|0|<5%
ERSTE GROUP BANK AG|EUROPE||3|1.0|2,500,000|0|>95%
ESKOM HOLDINGS SOC LIMITED|EUROPE|Y|4|2.0|2,500,000|0|>95%
EXELON CORPORATION|AMERICAS|Y|8|5.3|2,500,000|0|<5%
EXELON GENERATION COMPANY,           LLC|AMERICAS||2|1.0|2,500,000|0|<5%
EXPEDIA GROUP, INC.|AMERICAS||8|7.3|5,000,000|1|<5%
EXPERIAN FINANCE PLC|EUROPE|Y|3|2.0|2,500,000|0|>95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN|Y|3|1.7|2,500,000|0|>95%
FCC AQUALIA, S.A.|EUROPE|Y|5|2.0|2,500,000|0|>95%
FCE BANK PLC|EUROPE|Y|0|0.0|2,500,000|0|>95%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN|Y|9|4.3|12,500,000|1|>95%
FEDERAL REPUBLIC OF NIGERIA|SOVEREIGN||2|1.0|2,500,000|0|>95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|12|11.3|350,000,000|33|>95%
FEDEX CORPORATION|AMERICAS||3|1.0|2,500,000|0|<5%
FIAT CHRYSLER AUTOMOBILES           N.V.|EUROPE|Y|10|9.0|10,000,000|2|>95%
FINANCIERE QUICK|EUROPE|Y|3|1.0|2,500,000|0|>95%
FIRST DATA CORPORATION|AMERICAS|Y|8|5.7|2,500,000|1|<5%
FIRSTENERGY CORP.|AMERICAS|Y|7|5.7|2,500,000|0|<5%
FLEX LTD.|AMERICAS||1|0.3|2,500,000|0|<5%
FORD MOTOR COMPANY|AMERICAS|Y|9|8.3|50,000,000|6|<5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||9|7.3|12,500,000|3|<5%
FORTUM OYJ|EUROPE|Y|8|4.3|5,000,000|1|>95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|10|7.3|10,000,000|2|<5%
FRENCH REPUBLIC|SOVEREIGN|Y|8|5.3|17,500,000|1|>95%
FRESENIUS SE &CO. KGAA|EUROPE|Y|5|2.7|2,500,000|0|>95%
FRONERI INTERNATIONAL LIMITED|EUROPE||1|0.3|2,500,000|0|>95%
FRONTIER COMMUNICATIONS           CORPORATION|AMERICAS|Y|10|8.0|17,500,000|6|<5%
FUJITSU LIMITED|JAPAN|Y|6|2.3|2,500,000|0|>95%
GALAPAGOS HOLDING S.A.|EUROPE|Y|7|4.7|2,500,000|1|>95%
GALP ENERGIA, SGPS, S.A.|EUROPE|Y|7|3.0|2,500,000|0|>95%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE|Y|9|8.3|7,500,000|2|>95%
GATX CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|<5%
GAZPROM PUBLIC JOINT STOCK           COMPANY|EUROPE|Y|9|5.0|2,500,000|0|>95%
GECINA|EUROPE|Y|2|0.7|2,500,000|0|>95%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|11|10.0|50,000,000|8|<5%
GENERAL MILLS, INC.|AMERICAS|Y|8|7.0|12,500,000|2|<5%
GENERAL MOTORS COMPANY|AMERICAS|Y|9|8.3|20,000,000|4|<5%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|10|6.3|2,500,000|1|<5%
GKN HOLDINGS LIMITED|EUROPE||9|5.3|5,000,000|1|>95%
GLAXOSMITHKLINE PLC|EUROPE|Y|6|3.0|5,000,000|0|>95%
GLENCORE INTERNATIONAL AG|EUROPE|Y|12|9.3|20,000,000|3|>95%
GPT RE LIMITED AS RESPONSIBLE           ENTITY OF THE GENERAL PROPERTY TRUST|AUSTRALIA NZ|Y|0|0.0|2,500,000|0|>95%
GRIFOLS, S.A.|EUROPE|Y|5|2.3|2,500,000|0|>95%
GROHE HOLDING GMBH|EUROPE|Y|2|0.7|2,500,000|0|>95%
GS CALTEX CORPORATION|ASIA EX-JAPAN|Y|1|0.7|2,500,000|0|>95%
HALLIBURTON COMPANY|AMERICAS|Y|8|6.0|5,000,000|1|<5%
HAMMERSON PLC|EUROPE|Y|2|1.0|2,500,000|0|>95%
HANKYU HANSHIN HOLDINGS, INC.|JAPAN|Y|1|0.3|2,500,000|0|>95%
HANNOVER RUECK SE|EUROPE|Y|9|6.7|5,000,000|1|>95%
HAPAG-LLOYD           AKTIENGESELLSCHAFT|EUROPE|Y|7|4.7|2,500,000|1|>95%
HASBRO, INC.|AMERICAS|Y|1|0.3|2,500,000|0|<5%
HCA INC.|AMERICAS|Y|9|7.3|5,000,000|1|<5%
HCP, INC.|AMERICAS||1|0.3|2,500,000|0|<5%
HD SUPPLY, INC.|AMERICAS|Y|3|1.7|2,500,000|0|<5%
HEATHROW FUNDING LIMITED|EUROPE||7|5.0|5,000,000|1|>95%
HEIDELBERGCEMENT AG|EUROPE|Y|11|9.3|10,000,000|3|>95%
HEINEKEN N.V.|EUROPE|Y|5|2.7|2,500,000|0|>95%
HELLENIC REPUBLIC|SOVEREIGN|Y|10|7.7|7,500,000|1|>95%
HELLENIC TELECOMMUNICATIONS           ORGANISATION SOCIETE ANONYME|EUROPE|Y|8|4.3|2,500,000|0|>95%
HEMA BONDCO I B.V.|EUROPE|Y|5|3.7|2,500,000|1|>95%
HENKEL AG &CO. KGAA|EUROPE|Y|8|4.7|5,000,000|0|>95%
HESS CORPORATION|AMERICAS|Y|8|7.7|10,000,000|2|<5%
HITACHI, LTD.|JAPAN|Y|5|2.3|2,500,000|0|>95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE|Y|3|1.0|2,500,000|0|>95%
HONDA MOTOR CO., LTD.|JAPAN|Y|9|4.3|2,500,000|0|>95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|8|6.0|2,500,000|1|<5%
HOST HOTELS &RESORTS,           L.P.|AMERICAS|Y|7|5.0|5,000,000|1|<5%
HP INC.|AMERICAS|Y|8|6.7|7,500,000|1|<5%
HSBC BANK PLC|EUROPE|Y|7|5.3|7,500,000|1|>95%
HSBC HOLDINGS PLC|EUROPE|Y|7|6.3|10,000,000|2|>95%
HUMANA INC.|AMERICAS||0|0.0|2,500,000|0|<5%
HUNGARY|SOVEREIGN|Y|6|2.3|2,500,000|0|>95%
HUNTSMAN INTERNATIONAL LLC|AMERICAS|Y|6|2.7|2,500,000|0|<5%
HUTCHISON WHAMPOA LIMITED|ASIA EX-JAPAN|Y|7|3.0|2,500,000|0|>95%
HYUNDAI CAPITAL SERVICES,           INC.|ASIA EX-JAPAN||0|0.0|2,500,000|0|>95%
HYUNDAI MOTOR COMPANY|ASIA EX-JAPAN|Y|5|2.3|2,500,000|0|>95%
IBERDROLA, S.A.|EUROPE|Y|10|7.0|7,500,000|1|>95%
