REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
ITRAXX EUROPE SENIOR FINANCIALS SERIES 34|Untranched|0|0.0|125,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 35|Untranched|5|4.0|1,225,000,000|28
ITRAXX EUROPE SERIES 26|Untranched|1|0.7|25,000,000|0
ITRAXX EUROPE SERIES 27|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SERIES 28|Tranched|3|1.0|75,000,000|0
ITRAXX EUROPE SERIES 28|Untranched|2|0.7|175,000,000|1
ITRAXX EUROPE SERIES 29|Untranched|2|0.7|25,000,000|0
ITRAXX EUROPE SERIES 30|Tranched|4|3.0|50,000,000|1
ITRAXX EUROPE SERIES 30|Untranched|3|1.0|350,000,000|2
ITRAXX EUROPE SERIES 31|Untranched|3|1.3|50,000,000|1
ITRAXX EUROPE SERIES 32|Tranched|4|3.0|75,000,000|1
ITRAXX EUROPE SERIES 32|Untranched|4|1.7|525,000,000|3
ITRAXX EUROPE SERIES 33|Untranched|3|1.0|100,000,000|1
ITRAXX EUROPE SERIES 34|Tranched|4|3.7|75,000,000|1
ITRAXX EUROPE SERIES 34|Untranched|7|3.3|1,300,000,000|20
ITRAXX EUROPE SERIES 35|Untranched|10|10.0|11,125,000,000|172
ITRAXX EUROPE SUB FINANCIALS SERIES 34|Untranched|1|0.3|50,000,000|1
ITRAXX EUROPE SUB FINANCIALS SERIES 35|Untranched|4|2.0|150,000,000|7
ITRAXX JAPAN SERIES 32|Untranched|1|0.3|25,000,000|0
ITRAXX JAPAN SERIES 33|Untranched|0|0.0|25,000,000|0
ITRAXX JAPAN SERIES 34|Untranched|5|3.3|25,000,000|0
ITRAXX JAPAN SERIES 35|Untranched|9|8.0|75,000,000|3
|||||
