REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ARROW ELECTRONICS, INC.|AMERICAS|Y|4|1.3|12,500,000|3|< 5%
ASHLAND INC.|AMERICAS|Y|3|1.7|2,500,000|1|< 5%
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI|EUROPE||10|8.0|75,000,000|10|75-95%
ASSURED GUARANTY CORP.|AMERICAS||2|1.0|2,500,000|0|< 5%
ASSURED GUARANTY MUNICIPAL CORP.|AMERICAS|Y|2|1.3|12,500,000|2|< 5%
ASTRAZENECA PLC|EUROPE|Y|6|2.7|50,000,000|4|> 95%
AT&T INC.|AMERICAS|Y|8|5.3|125,000,000|19|< 5%
AUSNET SERVICES HOLDINGS PTY LTD|AUSTRALIA NZ||2|1.0|2,500,000|0|> 95%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|AUSTRALIA NZ||0|0.0|2,500,000|0|25-75%
AUTOSTRADE PER L'ITALIA S.P.A.|EUROPE||1|0.3|2,500,000|0|> 95%
AUTOZONE, INC.|AMERICAS|Y|2|0.7|12,500,000|2|< 5%
AVIENT CORPORATION|AMERICAS|Y|4|2.3|5,000,000|1|< 5%
AVIS BUDGET GROUP, INC.|AMERICAS|Y|6|3.0|17,500,000|5|< 5%
AVIVA PLC|EUROPE|Y|9|5.0|50,000,000|5|75-95%
AVNET, INC.|AMERICAS|Y|5|3.3|20,000,000|4|< 5%
AVON PRODUCTS, INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
AXA|EUROPE|Y|10|4.7|75,000,000|6|25-75%
BAE SYSTEMS PLC|EUROPE||3|1.3|20,000,000|4|75-95%
BAIDU, INC.|ASIA EX-JAPAN||4|1.3|2,500,000|1|> 95%
BALL CORPORATION|AMERICAS|Y|4|2.0|5,000,000|1|< 5%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|EUROPE||1|0.7|2,500,000|0|25-75%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|EUROPE||8|6.0|50,000,000|8|25-75%
BANCO COMERCIAL PORTUGUES, S.A.|EUROPE||0|0.0|2,500,000|0|> 95%
BANCO DO BRASIL S.A.|AMERICAS|Y|2|0.7|5,000,000|0|75-95%
BANCO SANTANDER, S.A.|EUROPE||8|6.3|100,000,000|11|25-75%
BANK OF AMERICA CORPORATION|AMERICAS||9|7.0|125,000,000|13|< 5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN||5|3.3|50,000,000|4|75-95%
BANK OF INDIA|ASIA EX-JAPAN||1|0.3|2,500,000|0|> 95%
BARCLAYS BANK PLC|EUROPE||9|6.3|50,000,000|4|75-95%
BARCLAYS PLC|EUROPE|Y|11|8.0|100,000,000|11|75-95%
BARRICK GOLD CORPORATION|AMERICAS|Y|2|0.7|12,500,000|2|< 5%
BASF SE|EUROPE|Y|5|2.7|50,000,000|7|75-95%
BATH & BODY WORKS, INC.|AMERICAS|Y|7|2.3|17,500,000|4|< 5%
BAUSCH HEALTH COMPANIES INC.|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|7|3.3|50,000,000|7|< 5%
BAYER AKTIENGESELLSCHAFT|EUROPE||6|2.0|50,000,000|5|> 95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|EUROPE||7|3.7|100,000,000|10|75-95%
BEAZER HOMES USA, INC.|AMERICAS|Y|5|3.0|20,000,000|5|< 5%
BECTON, DICKINSON AND COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
BELLIS ACQUISITION COMPANY PLC|EUROPE||2|1.0|2,500,000|0|> 95%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|2|0.7|12,500,000|2|< 5%
BERTELSMANN SE & CO. KGAA|EUROPE||4|2.3|20,000,000|3|75-95%
BEST BUY CO., INC.|AMERICAS|Y|4|1.3|12,500,000|3|< 5%
BHP GROUP LIMITED|AUSTRALIA NZ||1|0.3|5,000,000|1|> 95%
BLOCK FINANCIAL LLC|AMERICAS|Y|1|0.3|15,000,000|3|< 5%
BNP PARIBAS|EUROPE|Y|9|6.0|75,000,000|8|25-75%
BOC AVIATION LIMITED|ASIA EX-JAPAN||6|3.3|2,500,000|0|75-95%
BOMBARDIER INC.|AMERICAS|Y|5|2.3|15,000,000|4|< 5%
BOPARAN FINANCE PLC|EUROPE||3|1.0|5,000,000|2|75-95%
BORGWARNER INC.|AMERICAS|Y|3|1.7|17,500,000|3|< 5%
BOSTON PROPERTIES LIMITED PARTNERSHIP|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|4|1.7|20,000,000|3|< 5%
BOUYGUES|EUROPE|Y|5|1.7|20,000,000|4|75-95%
BOYD GAMING CORPORATION|AMERICAS|Y|5|3.7|7,500,000|4|< 5%
BP P.L.C.|EUROPE|Y|8|3.0|100,000,000|8|75-95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|4|2.3|22,500,000|3|< 5%
BRITISH AIRWAYS PLC|EUROPE||0|0.0|2,500,000|0|> 95%
BRITISH AMERICAN TOBACCO P.L.C.|EUROPE||3|1.3|50,000,000|5|75-95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|EUROPE||6|3.7|100,000,000|16|75-95%
BROADCOM INC.|AMERICAS||1|0.3|2,500,000|0|25-75%
BROOKFIELD ASSET MANAGEMENT INC.|AMERICAS||1|0.3|2,500,000|0|25-75%
CABLE & WIRELESS LIMITED|EUROPE||0|0.0|2,500,000|1|> 95%
CAESARS ENTERTAINMENT, INC.|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
CAIXABANK, S.A.|EUROPE||0|0.0|2,500,000|0|> 95%
CALPINE CORPORATION|AMERICAS|Y|2|1.3|15,000,000|3|< 5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|3|1.0|15,000,000|3|< 5%
CANADIAN NATURAL RESOURCES LIMITED|AMERICAS|Y|5|2.0|12,500,000|3|< 5%
CAPITAL ONE FINANCIAL CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
CAPITAL ONE, NATIONAL ASSOCIATION|AMERICAS|Y|6|2.7|12,500,000|2|< 5%
CARDINAL HEALTH, INC.|AMERICAS|Y|1|0.3|15,000,000|3|< 5%
CARE UK SOCIAL CARE LIMITED|EUROPE||1|0.3|2,500,000|0|< 5%
CARLSBERG BREWERIES A/S|EUROPE||5|2.3|20,000,000|3|75-95%
CARNIVAL CORPORATION|AMERICAS|Y|4|2.0|50,000,000|10|< 5%
CARREFOUR|EUROPE|Y|5|1.7|50,000,000|5|> 95%
CARVANA CO.|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
CASINO GUICHARD-PERRACHON|EUROPE||5|2.7|20,000,000|6|> 95%
CATERPILLAR FINANCIAL SERVICES CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
CATERPILLAR INC.|AMERICAS|Y|5|2.0|15,000,000|2|5-25%
CCO HOLDINGS, LLC|AMERICAS|Y|3|1.3|17,500,000|4|< 5%
CECONOMY AG|EUROPE|Y|3|1.0|10,000,000|3|75-95%
CELLNEX TELECOM, S.A.|EUROPE||6|3.0|22,500,000|6|25-75%
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|4|2.0|5,000,000|1|< 5%
CENTRAL JAPAN RAILWAY COMPANY|JAPAN||0|0.0|2,500,000|0|> 95%
CENTRICA PLC|EUROPE|Y|5|3.3|50,000,000|6|75-95%
CHESAPEAKE ENERGY CORPORATION|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
CHEVRON CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
CHINA CINDA (HK) HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN||6|3.0|2,500,000|0|75-95%
CHINA CONSTRUCTION BANK CORPORATION|ASIA EX-JAPAN||7|4.3|10,000,000|2|25-75%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN||5|2.0|7,500,000|1|75-95%
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|ASIA EX-JAPAN||6|3.0|2,500,000|0|75-95%
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|ASIA EX-JAPAN||5|2.7|2,500,000|0|75-95%
CHINA ORIENT ASSET MANAGEMENT (INTERNATIONAL) HOLDING LIMITED|ASIA EX-JAPAN||6|2.7|2,500,000|0|75-95%
CHINA PETROCHEMICAL CORPORATION|ASIA EX-JAPAN||6|3.0|2,500,000|0|75-95%
CHUBB LIMITED|AMERICAS|Y|4|1.3|5,000,000|1|5-25%
CIRSA FINANCE INTERNATIONAL S.A R.L.|EUROPE||3|2.0|2,500,000|0|25-75%
CISCO SYSTEMS, INC.|AMERICAS|Y|3|1.0|12,500,000|2|5-25%
CITIC LIMITED|ASIA EX-JAPAN||6|3.3|2,500,000|0|75-95%
CITIGROUP INC.|AMERICAS||7|4.0|75,000,000|6|< 5%
CLARIANT AG|EUROPE|Y|3|1.0|15,000,000|4|> 95%
CLEVELAND-CLIFFS INC.|AMERICAS|Y|0|0.0|10,000,000|3|< 5%
CLEVELAND-CLIFFS STEEL CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
CMA CGM|EUROPE||4|2.0|10,000,000|2|75-95%
CNH INDUSTRIAL N.V.|EUROPE||5|2.3|22,500,000|6|75-95%
COMCAST CORPORATION|AMERICAS|Y|5|2.3|50,000,000|4|< 5%
COMISION FEDERAL DE ELECTRICIDAD|AMERICAS||1|0.3|2,500,000|0|> 95%
COMMERZBANK AKTIENGESELLSCHAFT|EUROPE||9|7.7|75,000,000|10|75-95%
COMMONWEALTH BANK OF AUSTRALIA|AUSTRALIA NZ||0|0.0|2,500,000|0|> 95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN||2|1.0|50,000,000|1|75-95%
COMMSCOPE, INC.|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
COMMUNITY HEALTH SYSTEMS, INC.|AMERICAS|Y|1|0.3|5,000,000|1|< 5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE||6|3.3|25,000,000|4|75-95%
COMPAGNIE FINANCIERE MICHELIN|EUROPE||4|1.7|7,500,000|1|> 95%
COMPASS GROUP PLC|EUROPE||3|1.7|15,000,000|3|75-95%
CONAGRA BRANDS, INC.|AMERICAS|Y|3|1.0|15,000,000|3|< 5%
CONOCOPHILLIPS|AMERICAS|Y|4|1.7|10,000,000|2|< 5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
CONSTELLIUM SE|EUROPE|Y|3|1.0|2,500,000|1|75-95%
CONTINENTAL AKTIENGESELLSCHAFT|EUROPE||7|4.3|50,000,000|9|75-95%
COOEPERATIEVE RABOBANK U.A.|EUROPE||7|4.3|50,000,000|4|25-75%
COX COMMUNICATIONS, INC.|AMERICAS|Y|2|0.7|10,000,000|2|< 5%
CREDIT AGRICOLE SA|EUROPE||9|5.3|50,000,000|7|75-95%
CREDIT SAISON CO., LTD.|JAPAN||0|0.0|2,500,000|0|> 95%
CROWN EUROPEAN HOLDINGS|EUROPE|Y|4|2.0|2,500,000|1|25-75%
CSC HOLDINGS, LLC|AMERICAS|Y|5|1.7|5,000,000|2|< 5%
CSX CORPORATION|AMERICAS|Y|3|1.0|20,000,000|3|< 5%
CVS HEALTH CORPORATION|AMERICAS|Y|5|2.3|50,000,000|7|< 5%
CZECH REPUBLIC|SOVEREIGN||0|0.0|2,500,000|0|> 95%
DANAHER CORPORATION|AMERICAS|Y|5|2.3|22,500,000|3|5-25%
DANONE|EUROPE|Y|4|2.0|50,000,000|5|> 95%
DANSKE BANK A/S|EUROPE||9|5.0|50,000,000|4|75-95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|2|0.7|15,000,000|2|< 5%
DAVITA INC.|AMERICAS|Y|2|1.0|5,000,000|2|< 5%
DBS BANK LTD.|ASIA EX-JAPAN||6|2.7|2,500,000|0|75-95%
DEERE & COMPANY|AMERICAS|Y|3|1.0|10,000,000|2|5-25%
DELL INC.|AMERICAS|Y|4|2.3|17,500,000|5|< 5%
DELTA AIR LINES, INC.|AMERICAS|Y|4|1.7|12,500,000|3|< 5%
DEUTSCHE BANK AKTIENGESELLSCHAFT|EUROPE||12|9.7|100,000,000|13|25-75%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|EUROPE||6|3.3|50,000,000|8|75-95%
DEUTSCHE POST AG|EUROPE|Y|2|0.7|7,500,000|0|> 95%
DEUTSCHE TELEKOM AG|EUROPE|Y|7|3.0|75,000,000|7|75-95%
DEVON ENERGY CORPORATION|AMERICAS|Y|8|4.3|50,000,000|7|< 5%
DIAGEO PLC|EUROPE|Y|4|1.3|50,000,000|4|75-95%
DISH DBS CORPORATION|AMERICAS|Y|4|1.7|17,500,000|5|< 5%
DOMINICAN REPUBLIC|SOVEREIGN|Y|3|1.7|5,000,000|1|75-95%
DOMINION ENERGY, INC.|AMERICAS|Y|4|1.3|25,000,000|4|< 5%
DOMTAR CORPORATION|AMERICAS|Y|1|0.7|2,500,000|1|< 5%
D.R. HORTON, INC.|AMERICAS|Y|4|1.3|17,500,000|3|< 5%
DUBAI|SOVEREIGN||1|0.3|5,000,000|1|> 95%
DUFRY ONE B.V.|EUROPE||2|0.7|2,500,000|0|75-95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|1|0.3|7,500,000|1|< 5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|3|1.0|17,500,000|4|< 5%
EAST JAPAN RAILWAY COMPANY|JAPAN||9|3.3|7,500,000|1|25-75%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|4|3.0|12,500,000|3|< 5%
EDP - ENERGIAS DE PORTUGAL, S.A.|EUROPE||2|0.7|22,500,000|3|> 95%
EDP FINANCE B.V.|EUROPE||3|1.3|12,500,000|2|75-95%
EG GLOBAL FINANCE PLC|EUROPE||6|4.7|5,000,000|3|75-95%
EIDP, INC.|AMERICAS|Y|3|1.0|10,000,000|2|< 5%
ELECTRICITE DE FRANCE|EUROPE|Y|6|3.3|75,000,000|8|> 95%
ELI LILLY AND COMPANY|AMERICAS||2|0.7|2,500,000|0|25-75%
ELIS|EUROPE||6|2.0|7,500,000|3|75-95%
ELO|EUROPE|Y|4|1.3|50,000,000|6|75-95%
EMIRATES|EUROPE||0|0.0|2,500,000|0|> 95%
ENBRIDGE INC.|AMERICAS|Y|5|2.7|22,500,000|4|< 5%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|EUROPE||2|0.7|15,000,000|3|25-75%
ENEL S.P.A.|EUROPE||8|3.7|50,000,000|8|75-95%
ENERGY TRANSFER LP|AMERICAS|Y|4|2.3|10,000,000|3|< 5%
ENGIE|EUROPE|Y|5|1.7|50,000,000|4|> 95%
ENI S.P.A.|EUROPE|Y|6|2.3|50,000,000|5|75-95%
E.ON SE|EUROPE||4|1.7|50,000,000|6|75-95%
EP INFRASTRUCTURE, A.S.|EUROPE||3|1.0|2,500,000|0|25-75%
EQM MIDSTREAM PARTNERS, LP|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
EQUINIX, INC.|AMERICAS|Y|1|0.7|2,500,000|0|< 5%
EQUINOR ASA|EUROPE|Y|3|1.0|50,000,000|3|75-95%
ERP OPERATING LIMITED PARTNERSHIP|AMERICAS|Y|0|0.0|5,000,000|1|< 5%
EXELON CORPORATION|AMERICAS|Y|2|0.7|10,000,000|2|< 5%
EXPEDIA GROUP, INC.|AMERICAS|Y|3|1.3|22,500,000|3|< 5%
EXPERIAN FINANCE PLC|EUROPE||2|0.7|5,000,000|1|75-95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN||5|1.7|5,000,000|1|> 95%
EXXON MOBIL CORPORATION|AMERICAS||1|0.3|2,500,000|0|< 5%
FAURECIA|EUROPE|Y|9|6.0|7,500,000|2|25-75%
FCC AQUALIA, S.A.|EUROPE||3|1.7|2,500,000|0|25-75%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN||3|1.7|50,000,000|2|> 95%
FEDERAL REPUBLIC OF NIGERIA|SOVEREIGN|Y|2|1.0|2,500,000|0|75-95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|9|7.7|375,000,000|37|75-95%
FEDEX CORPORATION|AMERICAS|Y|2|0.7|10,000,000|2|< 5%
FIRST-CITIZENS BANK & TRUST COMPANY|AMERICAS||0|0.0|2,500,000|0|25-75%
FIRSTENERGY CORP.|AMERICAS|Y|5|2.7|15,000,000|3|< 5%
FISERV, INC.|AMERICAS|Y|2|1.0|2,500,000|1|< 5%
FORD MOTOR COMPANY|AMERICAS|Y|11|6.3|75,000,000|15|< 5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||2|0.7|50,000,000|7|< 5%
FORTUM OYJ|EUROPE|Y|3|1.3|17,500,000|4|75-95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|8|4.7|50,000,000|9|< 5%
FRENCH REPUBLIC|SOVEREIGN||5|2.3|75,000,000|2|75-95%
FRESENIUS SE & CO. KGAA|EUROPE||4|2.0|2,500,000|1|25-75%
FRONTIER COMMUNICATIONS HOLDINGS, LLC|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
FUJITSU LIMITED|JAPAN||6|2.0|2,500,000|0|> 95%
GALP ENERGIA, SGPS, S.A.|EUROPE||0|0.0|5,000,000|1|> 95%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE||2|1.3|2,500,000|0|5-25%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|4|1.7|75,000,000|6|< 5%
GENERAL MILLS, INC.|AMERICAS|Y|2|0.7|15,000,000|2|< 5%
GENERAL MOTORS COMPANY|AMERICAS|Y|11|6.0|75,000,000|15|< 5%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
GFL ENVIRONMENTAL INC.|AMERICAS|Y|4|1.3|2,500,000|0|< 5%
GKN HOLDINGS LIMITED|EUROPE||2|1.0|7,500,000|2|> 95%
GLENCORE INTERNATIONAL AG|EUROPE||10|5.0|100,000,000|12|75-95%
GRIFOLS, S.A.|EUROPE||8|3.7|5,000,000|2|25-75%
GS CALTEX CORPORATION|ASIA EX-JAPAN||1|0.3|2,500,000|0|> 95%
GSK PLC|EUROPE|Y|2|0.7|25,000,000|2|> 95%
HALLIBURTON COMPANY|AMERICAS|Y|3|1.0|17,500,000|3|< 5%
HAMMERSON PLC|EUROPE|Y|0|0.0|2,500,000|0|< 5%
HANNOVER RUECK SE|EUROPE|Y|7|3.3|17,500,000|3|75-95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|EUROPE||5|1.7|7,500,000|3|25-75%
HCA INC.|AMERICAS|Y|4|2.3|17,500,000|3|< 5%
HD SUPPLY, INC.|AMERICAS|Y|1|1.0|2,500,000|2|< 5%
HEATHROW FUNDING LIMITED|EUROPE||4|1.3|2,500,000|0|75-95%
HEIDELBERG MATERIALS AG|EUROPE||10|6.7|50,000,000|9|75-95%
HEINEKEN N.V.|EUROPE||2|0.7|22,500,000|4|75-95%
HELLENIC REPUBLIC|SOVEREIGN||4|1.7|50,000,000|3|75-95%
HELLENIC TELECOMMUNICATIONS ORGANISATION SOCIETE ANONYME|EUROPE||2|1.0|5,000,000|2|75-95%
HENKEL AG & CO. KGAA|EUROPE||3|1.3|15,000,000|3|75-95%
HESS CORPORATION|AMERICAS|Y|6|2.7|50,000,000|5|< 5%
HILTON DOMESTIC OPERATING COMPANY INC.|AMERICAS|Y|4|1.7|2,500,000|0|< 5%
HITACHI, LTD.|JAPAN||8|2.7|2,500,000|1|> 95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE||6|2.3|20,000,000|3|25-75%
HOLCIM AG|EUROPE|Y|9|5.0|50,000,000|8|75-95%
HONDA MOTOR CO., LTD.|JAPAN||4|1.7|2,500,000|0|75-95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|5|1.7|15,000,000|2|< 5%
HOST HOTELS & RESORTS, L.P.|AMERICAS|Y|6|2.7|17,500,000|4|< 5%
HOWMET AEROSPACE INC.|AMERICAS|Y|2|0.7|2,500,000|1|< 5%
HP INC.|AMERICAS|Y|3|1.0|17,500,000|3|< 5%
HSBC BANK PLC|EUROPE||6|2.3|17,500,000|1|25-75%
HSBC HOLDINGS PLC|EUROPE||11|8.0|100,000,000|14|25-75%
HUNGARY|SOVEREIGN|Y|1|0.3|2,500,000|0|> 95%
HUNTSMAN INTERNATIONAL LLC|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
HUTCHISON WHAMPOA LIMITED|ASIA EX-JAPAN|Y|2|0.7|2,500,000|1|> 95%
HYUNDAI MOTOR COMPANY|ASIA EX-JAPAN||0|0.0|2,500,000|0|> 95%
IBERDROLA, S.A.|EUROPE||2|0.7|50,000,000|4|75-95%
ICELAND BONDCO PLC|EUROPE|Y|6|3.3|12,500,000|5|75-95%
ICICI BANK LIMITED|ASIA EX-JAPAN|Y|2|1.0|2,500,000|0|> 95%
IHEARTCOMMUNICATIONS, INC.|AMERICAS|Y|2|1.0|2,500,000|0|< 5%
ILIAD HOLDING|EUROPE|Y|3|1.7|2,500,000|0|75-95%
IMPERIAL BRANDS PLC|EUROPE|Y|3|1.3|50,000,000|4|75-95%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|ASIA EX-JAPAN||8|5.3|15,000,000|2|75-95%
INEOS FINANCE PLC|EUROPE||3|1.3|2,500,000|0|> 95%
INEOS GROUP HOLDINGS S.A.|EUROPE||5|2.3|2,500,000|0|25-75%
INEOS QUATTRO FINANCE 2 PLC|EUROPE||3|1.3|2,500,000|1|25-75%
ING BANK N.V.|EUROPE||0|0.0|2,500,000|0|> 95%
ING GROEP N.V.|EUROPE||8|5.7|50,000,000|6|75-95%
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT|EUROPE||1|0.3|2,500,000|0|> 95%
INTERNATIONAL BUSINESS MACHINES CORPORATION|AMERICAS|Y|6|2.7|50,000,000|6|5-25%
INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.|EUROPE||9|6.3|5,000,000|2|75-95%
INTERNATIONAL GAME TECHNOLOGY PLC|EUROPE||2|1.3|5,000,000|2|75-95%
INTERNATIONAL LEASE FINANCE CORPORATION|AMERICAS|Y|2|1.0|2,500,000|0|< 5%
INTERNATIONAL PAPER COMPANY|AMERICAS|Y|2|0.7|15,000,000|3|< 5%
INTESA SANPAOLO SPA|EUROPE|Y|11|8.3|100,000,000|15|75-95%
INTRUM AB|EUROPE|Y|6|3.3|12,500,000|5|75-95%
IRELAND|SOVEREIGN||1|0.3|7,500,000|1|> 95%
IRON MOUNTAIN INCORPORATED|AMERICAS|Y|1|0.7|2,500,000|1|< 5%
ITOCHU CORPORATION|JAPAN||7|3.3|5,000,000|1|75-95%
ITV PLC|EUROPE|Y|4|1.7|25,000,000|5|75-95%
JAGUAR LAND ROVER AUTOMOTIVE PLC|EUROPE||10|5.7|75,000,000|17|> 95%
JAPAN|SOVEREIGN|Y|9|7.0|25,000,000|2|> 95%
JAPAN TOBACCO INC.|JAPAN||4|1.7|2,500,000|0|25-75%
JFE HOLDINGS, INC.|JAPAN||7|3.3|2,500,000|1|75-95%
