REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
AVIS BUDGET GROUP, INC.|AMERICAS|Y|3|2.0|12,500,000|5|< 5%
AVIVA PLC|EUROPE|Y|8|6.3|75,000,000|10|75-95%
AVNET, INC.|AMERICAS|Y|5|2.3|15,000,000|4|< 5%
AVON PRODUCTS, INC.|AMERICAS|Y|3|1.0|2,500,000|1|< 5%
AXA|EUROPE|Y|11|7.0|125,000,000|12|75-95%
BAE SYSTEMS PLC|EUROPE||4|1.7|50,000,000|6|75-95%
BAIDU, INC.|ASIA EX-JAPAN||2|1.3|2,500,000|0|75-95%
BALL CORPORATION|AMERICAS|Y|4|1.3|5,000,000|2|< 5%
BANCA MONTE DEI PASCHI DI SIENA S.P.A.|EUROPE||0|0.0|2,500,000|0|> 95%
BANCO BILBAO VIZCAYA ARGENTARIA, SOCIEDAD ANONIMA|EUROPE||8|5.7|75,000,000|13|75-95%
BANCO BPM SOCIETA' PER AZIONI|EUROPE||1|0.3|2,500,000|1|75-95%
BANCO DO BRASIL S.A.|AMERICAS|Y|1|0.3|2,500,000|0|> 95%
BANCO SANTANDER, S.A.|EUROPE||9|6.0|100,000,000|13|75-95%
BANK OF AMERICA CORPORATION|AMERICAS||9|8.3|125,000,000|12|< 5%
BANK OF CHINA LIMITED|ASIA EX-JAPAN||7|3.0|17,500,000|2|> 95%
BANK OF INDIA|ASIA EX-JAPAN||3|1.3|2,500,000|0|75-95%
BARCLAYS BANK PLC|EUROPE||6|3.3|50,000,000|3|> 95%
BARCLAYS PLC|EUROPE|Y|9|8.0|75,000,000|10|25-75%
BARRICK GOLD CORPORATION|AMERICAS|Y|4|1.3|12,500,000|2|< 5%
BASF SE|EUROPE|Y|8|3.3|50,000,000|5|75-95%
BATH & BODY WORKS, INC.|AMERICAS|Y|5|1.7|7,500,000|3|< 5%
BAUSCH HEALTH COMPANIES INC.|AMERICAS|Y|5|2.0|10,000,000|4|< 5%
BAXTER INTERNATIONAL INC.|AMERICAS|Y|8|3.3|15,000,000|4|< 5%
BAYER AKTIENGESELLSCHAFT|EUROPE||2|1.0|50,000,000|8|> 95%
BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT|EUROPE||7|2.7|150,000,000|16|75-95%
BEAZER HOMES USA, INC.|AMERICAS|Y|6|3.7|12,500,000|5|< 5%
BECTON, DICKINSON AND COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
BERKSHIRE HATHAWAY INC.|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
BERTELSMANN SE & CO. KGAA|EUROPE||5|2.0|10,000,000|2|75-95%
BEST BUY CO., INC.|AMERICAS|Y|6|3.0|17,500,000|3|< 5%
BHP GROUP LIMITED|AUSTRALIA NZ||0|0.0|2,500,000|0|> 95%
BLOCK FINANCIAL LLC|AMERICAS|Y|2|1.0|20,000,000|4|< 5%
BNP PARIBAS|EUROPE|Y|9|6.7|75,000,000|8|75-95%
BOC AVIATION LIMITED|ASIA EX-JAPAN||6|2.3|2,500,000|0|75-95%
BOMBARDIER INC.|AMERICAS|Y|4|2.0|20,000,000|10|< 5%
BOPARAN FINANCE PLC|EUROPE||2|0.7|10,000,000|4|75-95%
BORGWARNER INC.|AMERICAS|Y|5|1.7|5,000,000|2|< 5%
BOSTON PROPERTIES LIMITED PARTNERSHIP|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
BOSTON SCIENTIFIC CORPORATION|AMERICAS|Y|2|0.7|12,500,000|2|< 5%
BOUYGUES|EUROPE|Y|3|1.7|50,000,000|6|75-95%
BOYD GAMING CORPORATION|AMERICAS|Y|8|5.7|5,000,000|4|< 5%
BP P.L.C.|EUROPE|Y|8|4.7|50,000,000|6|75-95%
BRISTOL-MYERS SQUIBB COMPANY|AMERICAS|Y|2|0.7|25,000,000|3|< 5%
BRITISH AIRWAYS PLC|EUROPE||0|0.0|2,500,000|0|75-95%
BRITISH AMERICAN TOBACCO P.L.C.|EUROPE||7|4.3|75,000,000|11|> 95%
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|EUROPE||7|3.7|50,000,000|7|75-95%
BROOKFIELD ASSET MANAGEMENT INC.|AMERICAS||1|0.3|2,500,000|0|> 95%
CABLE & WIRELESS LIMITED|EUROPE||0|0.0|2,500,000|0|75-95%
CAESARS ENTERTAINMENT, INC.|AMERICAS|Y|5|3.7|2,500,000|1|< 5%
CAIXABANK, S.A.|EUROPE||0|0.0|2,500,000|0|> 95%
CALPINE CORPORATION|AMERICAS|Y|4|1.3|7,500,000|2|< 5%
CAMPBELL SOUP COMPANY|AMERICAS|Y|2|0.7|15,000,000|3|< 5%
CANADIAN NATURAL RESOURCES LIMITED|AMERICAS|Y|4|1.7|17,500,000|4|< 5%
CAPITAL ONE BANK (USA), NATIONAL ASSOCIATION|AMERICAS|Y|4|1.3|10,000,000|2|< 5%
CAPITAL ONE FINANCIAL CORPORATION|AMERICAS|Y|0|0.0|2,500,000|1|< 5%
CARDINAL HEALTH, INC.|AMERICAS|Y|4|1.7|17,500,000|3|5-25%
CARE UK SOCIAL CARE LIMITED|EUROPE||1|0.3|2,500,000|0|25-75%
CARLSBERG BREWERIES A/S|EUROPE||2|0.7|50,000,000|5|> 95%
CARNIVAL CORPORATION|AMERICAS|Y|5|3.0|50,000,000|12|< 5%
CARREFOUR|EUROPE|Y|5|2.7|15,000,000|4|25-75%
CARVANA CO.|AMERICAS|Y|3|2.3|2,500,000|1|< 5%
CASINO GUICHARD-PERRACHON|EUROPE||9|6.0|50,000,000|16|75-95%
CATERPILLAR FINANCIAL SERVICES CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
CATERPILLAR INC.|AMERICAS|Y|3|1.0|10,000,000|2|< 5%
CCO HOLDINGS, LLC|AMERICAS|Y|4|2.3|20,000,000|4|< 5%
CECONOMY AG|EUROPE|Y|4|2.0|5,000,000|2|> 95%
CELLNEX TELECOM, S.A.|EUROPE||7|5.0|15,000,000|3|25-75%
CEMEX, SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|0|0.0|2,500,000|0|5-25%
CENTRICA PLC|EUROPE|Y|9|4.0|22,500,000|4|75-95%
CHESAPEAKE ENERGY CORPORATION|AMERICAS|Y|5|3.7|2,500,000|1|< 5%
CHINA CINDA (HK) HOLDINGS COMPANY LIMITED|ASIA EX-JAPAN||6|3.0|2,500,000|0|> 95%
CHINA CONSTRUCTION BANK CORPORATION|ASIA EX-JAPAN||6|4.3|5,000,000|1|> 95%
CHINA DEVELOPMENT BANK|ASIA EX-JAPAN||5|1.7|7,500,000|1|75-95%
CHINA HUARONG INTERNATIONAL HOLDINGS LIMITED|ASIA EX-JAPAN||6|2.3|2,500,000|0|> 95%
CHINA NATIONAL CHEMICAL CORPORATION LIMITED|ASIA EX-JAPAN||4|1.7|2,500,000|0|> 95%
CHINA ORIENT ASSET MANAGEMENT (INTERNATIONAL) HOLDING LIMITED|ASIA EX-JAPAN||6|2.7|2,500,000|0|75-95%
CHINA OVERSEAS LAND & INVESTMENT LIMITED|ASIA EX-JAPAN||1|0.3|2,500,000|0|> 95%
CHINA PETROCHEMICAL CORPORATION|ASIA EX-JAPAN||6|3.3|2,500,000|0|> 95%
CHUBB INA HOLDINGS INC.|AMERICAS||0|0.0|2,500,000|0|< 5%
CHUBB LIMITED|AMERICAS|Y|2|0.7|5,000,000|1|< 5%
CIRSA FINANCE INTERNATIONAL S.A R.L.|EUROPE||1|0.3|2,500,000|0|> 95%
CISCO SYSTEMS, INC.|AMERICAS|Y|1|0.3|7,500,000|2|< 5%
CITIC LIMITED|ASIA EX-JAPAN||5|2.7|2,500,000|0|25-75%
CITIGROUP INC.|AMERICAS||7|4.7|50,000,000|3|< 5%
CITY OF CHICAGO|AMERICAS||1|0.3|2,500,000|0|< 5%
CLARIANT AG|EUROPE|Y|5|2.0|5,000,000|1|> 95%
CLEVELAND-CLIFFS INC.|AMERICAS|Y|3|1.0|10,000,000|4|< 5%
CLEVELAND-CLIFFS STEEL CORPORATION|AMERICAS||1|0.3|2,500,000|0|< 5%
CMA CGM|EUROPE||4|1.7|25,000,000|6|75-95%
CNH INDUSTRIAL N.V.|EUROPE||5|2.0|50,000,000|9|75-95%
COMCAST CORPORATION|AMERICAS|Y|5|2.7|50,000,000|5|< 5%
COMISION FEDERAL DE ELECTRICIDAD|AMERICAS||2|0.7|2,500,000|0|> 95%
COMMERZBANK AKTIENGESELLSCHAFT|EUROPE||11|8.0|75,000,000|11|75-95%
COMMONWEALTH BANK OF AUSTRALIA|AUSTRALIA NZ||2|0.7|5,000,000|0|> 95%
COMMONWEALTH OF AUSTRALIA|SOVEREIGN||2|0.7|20,000,000|2|> 95%
COMMONWEALTH OF PENNSYLVANIA|AMERICAS||1|0.3|2,500,000|0|< 5%
COMMSCOPE, INC.|AMERICAS|Y|4|2.7|2,500,000|0|< 5%
COMMUNITY HEALTH SYSTEMS, INC.|AMERICAS|Y|3|1.3|7,500,000|3|< 5%
COMPAGNIE DE SAINT-GOBAIN|EUROPE||7|3.3|50,000,000|8|75-95%
COMPAGNIE FINANCIERE MICHELIN|EUROPE||6|2.7|17,500,000|4|> 95%
COMPASS GROUP PLC|EUROPE||3|1.0|10,000,000|2|75-95%
CONAGRA BRANDS, INC.|AMERICAS|Y|1|0.7|10,000,000|3|< 5%
CONOCOPHILLIPS|AMERICAS|Y|4|1.7|7,500,000|2|< 5%
CONSTELLATION BRANDS, INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
CONSTELLATION ENERGY GENERATION, LLC|AMERICAS||0|0.0|2,500,000|0|< 5%
CONSTELLIUM SE|EUROPE|Y|2|1.0|5,000,000|1|75-95%
CONTINENTAL AKTIENGESELLSCHAFT|EUROPE||8|4.3|75,000,000|11|75-95%
COOEPERATIEVE RABOBANK U.A.|EUROPE||5|3.0|50,000,000|6|25-75%
CORNING INCORPORATED|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
COX COMMUNICATIONS, INC.|AMERICAS|Y|1|0.3|10,000,000|2|< 5%
CREDIT AGRICOLE SA|EUROPE||9|6.0|75,000,000|13|75-95%
CREDIT SAISON CO., LTD.|JAPAN||0|0.0|2,500,000|0|> 95%
CREDIT SUISSE GROUP AG|EUROPE||11|8.0|125,000,000|22|25-75%
CROWN EUROPEAN HOLDINGS|EUROPE|Y|5|2.3|2,500,000|1|25-75%
CSC HOLDINGS, LLC|AMERICAS|Y|3|1.0|7,500,000|4|< 5%
CSX CORPORATION|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
CVS HEALTH CORPORATION|AMERICAS|Y|8|5.0|50,000,000|6|< 5%
CZECH REPUBLIC|SOVEREIGN||2|0.7|2,500,000|0|> 95%
DANAHER CORPORATION|AMERICAS|Y|5|1.7|10,000,000|2|< 5%
DANONE|EUROPE|Y|6|2.0|75,000,000|7|> 95%
DANSKE BANK A/S|EUROPE||8|6.0|50,000,000|7|75-95%
DARDEN RESTAURANTS, INC.|AMERICAS|Y|2|1.0|12,500,000|3|< 5%
DAVITA INC.|AMERICAS|Y|4|2.0|2,500,000|1|< 5%
DBS BANK LTD.|ASIA EX-JAPAN||7|4.3|2,500,000|0|> 95%
DEERE & COMPANY|AMERICAS|Y|6|2.7|20,000,000|3|5-25%
DELL INC.|AMERICAS|Y|5|2.0|15,000,000|5|< 5%
DELTA AIR LINES, INC.|AMERICAS|Y|5|3.0|10,000,000|5|< 5%
DEUTSCHE BANK AKTIENGESELLSCHAFT|EUROPE||13|9.3|100,000,000|18|75-95%
DEUTSCHE LUFTHANSA AKTIENGESELLSCHAFT|EUROPE||8|3.7|75,000,000|12|75-95%
DEUTSCHE POST AG|EUROPE|Y|2|0.7|17,500,000|2|> 95%
DEUTSCHE TELEKOM AG|EUROPE|Y|5|2.3|50,000,000|3|75-95%
DEVON ENERGY CORPORATION|AMERICAS|Y|7|3.3|20,000,000|4|< 5%
DIAGEO PLC|EUROPE|Y|5|2.0|50,000,000|5|> 95%
DISH DBS CORPORATION|AMERICAS|Y|4|2.7|50,000,000|18|< 5%
DMG MORI CO., LTD.|JAPAN||0|0.0|2,500,000|0|> 95%
DNB BANK ASA|EUROPE||3|1.0|2,500,000|0|> 95%
DOMINICAN REPUBLIC|SOVEREIGN|Y|6|3.0|5,000,000|1|25-75%
DOMINION ENERGY, INC.|AMERICAS|Y|6|2.3|10,000,000|3|< 5%
DOMTAR CORPORATION|AMERICAS|Y|3|1.3|5,000,000|1|< 5%
D.R. HORTON, INC.|AMERICAS|Y|5|1.7|12,500,000|3|< 5%
DUBAI|SOVEREIGN||1|0.3|2,500,000|1|> 95%
DUFRY ONE B.V.|EUROPE||1|0.7|2,500,000|0|> 95%
DUKE ENERGY CAROLINAS, LLC|AMERICAS|Y|0|0.0|2,500,000|1|< 5%
DXC TECHNOLOGY COMPANY|AMERICAS|Y|5|1.7|10,000,000|2|< 5%
EAST JAPAN RAILWAY COMPANY|JAPAN||8|3.3|2,500,000|0|75-95%
EASTMAN CHEMICAL COMPANY|AMERICAS|Y|4|1.7|10,000,000|3|< 5%
EASYJET PLC|EUROPE||1|0.3|2,500,000|0|> 95%
EDP - ENERGIAS DE PORTUGAL, S.A.|EUROPE||5|2.0|10,000,000|1|75-95%
EDP FINANCE B.V.|EUROPE||4|2.3|10,000,000|2|75-95%
EG GLOBAL FINANCE PLC|EUROPE||2|1.0|2,500,000|0|75-95%
EIDP, INC.|AMERICAS|Y|6|2.0|7,500,000|2|5-25%
ELECTRICITE DE FRANCE|EUROPE|Y|7|4.7|50,000,000|5|25-75%
ELI LILLY AND COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
ELIS|EUROPE||3|1.3|7,500,000|2|75-95%
ELO|EUROPE|Y|4|1.3|17,500,000|3|75-95%
EMIRATES|EUROPE||1|0.3|2,500,000|0|> 95%
ENBRIDGE INC.|AMERICAS|Y|5|2.0|17,500,000|3|< 5%
ENBW ENERGIE BADEN-WUERTTEMBERG AG|EUROPE||2|0.7|7,500,000|2|75-95%
ENEL S.P.A.|EUROPE||6|3.3|50,000,000|6|75-95%
ENERGY TRANSFER LP|AMERICAS|Y|3|1.0|10,000,000|3|< 5%
ENGIE|EUROPE|Y|6|2.3|17,500,000|3|75-95%
ENI S.P.A.|EUROPE|Y|5|3.0|15,000,000|3|75-95%
E.ON SE|EUROPE||6|2.3|22,500,000|4|75-95%
EP INFRASTRUCTURE, A.S.|EUROPE||2|0.7|2,500,000|0|> 95%
EQM MIDSTREAM PARTNERS, LP|AMERICAS|Y|3|2.3|2,500,000|0|< 5%
EQUINIX, INC.|AMERICAS|Y|2|0.7|2,500,000|0|< 5%
EQUINOR ASA|EUROPE|Y|2|1.0|50,000,000|3|75-95%
ERP OPERATING LIMITED PARTNERSHIP|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
ESKOM HOLDINGS SOC LIMITED|EUROPE||2|0.7|2,500,000|0|< 5%
EXELON CORPORATION|AMERICAS|Y|2|0.7|7,500,000|2|< 5%
EXPEDIA GROUP, INC.|AMERICAS|Y|5|2.3|17,500,000|4|< 5%
EXPERIAN FINANCE PLC|EUROPE||2|1.0|12,500,000|2|75-95%
EXPORT-IMPORT BANK OF INDIA|ASIA EX-JAPAN||3|1.0|2,500,000|1|> 95%
FAURECIA|EUROPE|Y|6|5.3|7,500,000|3|75-95%
FCC AQUALIA, S.A.|EUROPE||3|1.3|2,500,000|0|75-95%
FEDERAL REPUBLIC OF GERMANY|SOVEREIGN||3|1.0|10,000,000|1|> 95%
FEDERAL REPUBLIC OF NIGERIA|SOVEREIGN||1|0.3|2,500,000|0|> 95%
FEDERATIVE REPUBLIC OF BRAZIL|SOVEREIGN|Y|11|9.0|250,000,000|36|75-95%
FEDEX CORPORATION|AMERICAS|Y|1|0.3|7,500,000|2|< 5%
FIRST-CITIZENS BANK & TRUST COMPANY|AMERICAS||0|0.0|2,500,000|0|< 5%
FIRST DATA CORPORATION|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
FIRSTENERGY CORP.|AMERICAS|Y|6|3.0|10,000,000|3|< 5%
FISERV, INC.|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
FORD MOTOR COMPANY|AMERICAS|Y|9|6.0|50,000,000|14|< 5%
FORD MOTOR CREDIT COMPANY LLC|AMERICAS||5|2.7|25,000,000|6|< 5%
FORTUM OYJ|EUROPE|Y|4|2.0|10,000,000|3|> 95%
FREEPORT-MCMORAN INC.|AMERICAS|Y|9|3.7|20,000,000|6|< 5%
FRENCH REPUBLIC|SOVEREIGN||9|4.3|75,000,000|2|> 95%
FRESENIUS SE & CO. KGAA|EUROPE||4|1.3|2,500,000|0|25-75%
FRONTIER COMMUNICATIONS HOLDINGS, LLC|AMERICAS|Y|5|3.3|2,500,000|0|< 5%
FUJITSU LIMITED|JAPAN||2|1.0|2,500,000|0|> 95%
GALP ENERGIA, SGPS, S.A.|EUROPE||2|0.7|2,500,000|0|25-75%
GARFUNKELUX HOLDCO 2 S.A.|EUROPE||2|0.7|2,500,000|0|25-75%
GAZPROM PUBLIC JOINT STOCK COMPANY|EUROPE||1|0.3|2,500,000|0|< 5%
GENERAL ELECTRIC COMPANY|AMERICAS|Y|5|2.0|50,000,000|7|< 5%
GENERAL MILLS, INC.|AMERICAS|Y|2|0.7|10,000,000|3|< 5%
GENERAL MOTORS COMPANY|AMERICAS|Y|6|3.7|50,000,000|23|< 5%
GENWORTH HOLDINGS, INC.|AMERICAS|Y|6|2.7|5,000,000|2|< 5%
GFL ENVIRONMENTAL INC.|AMERICAS|Y|4|2.7|2,500,000|1|< 5%
GKN HOLDINGS LIMITED|EUROPE||2|0.7|15,000,000|4|75-95%
GLENCORE INTERNATIONAL AG|EUROPE||9|6.7|50,000,000|12|75-95%
GRIFOLS, S.A.|EUROPE||5|3.3|7,500,000|3|25-75%
GS CALTEX CORPORATION|ASIA EX-JAPAN||3|1.0|2,500,000|0|75-95%
GSK PLC|EUROPE|Y|4|2.0|50,000,000|5|> 95%
HALLIBURTON COMPANY|AMERICAS|Y|3|1.3|7,500,000|2|< 5%
HAMMERSON PLC|EUROPE|Y|1|0.3|2,500,000|0|25-75%
HANNOVER RUECK SE|EUROPE|Y|8|5.0|50,000,000|7|75-95%
HAPAG-LLOYD AKTIENGESELLSCHAFT|EUROPE||1|0.3|7,500,000|2|75-95%
HCA INC.|AMERICAS|Y|5|2.3|22,500,000|6|< 5%
HD SUPPLY, INC.|AMERICAS|Y|4|1.3|2,500,000|2|< 5%
HEATHROW FUNDING LIMITED|EUROPE||0|0.0|2,500,000|0|> 95%
HEIDELBERG MATERIALS AG|EUROPE||9|5.7|100,000,000|12|> 95%
HEINEKEN N.V.|EUROPE||4|1.3|50,000,000|6|> 95%
HELLENIC REPUBLIC|SOVEREIGN||3|1.0|22,500,000|2|75-95%
HENKEL AG & CO. KGAA|EUROPE||4|1.7|50,000,000|5|> 95%
HESS CORPORATION|AMERICAS|Y|5|2.0|15,000,000|3|< 5%
HILTON DOMESTIC OPERATING COMPANY INC.|AMERICAS|Y|4|3.7|2,500,000|1|< 5%
HITACHI, LTD.|JAPAN||4|2.0|2,500,000|0|> 95%
HOCHTIEF AKTIENGESELLSCHAFT|EUROPE||6|3.0|15,000,000|4|25-75%
HOLCIM AG|EUROPE|Y|7|4.0|75,000,000|10|75-95%
HONDA MOTOR CO., LTD.|JAPAN||5|2.7|7,500,000|1|75-95%
HONEYWELL INTERNATIONAL INC.|AMERICAS|Y|2|1.0|12,500,000|2|5-25%
HOST HOTELS & RESORTS, L.P.|AMERICAS|Y|6|3.3|7,500,000|3|< 5%
HOWMET AEROSPACE INC.|AMERICAS|Y|3|1.3|5,000,000|1|< 5%
HP INC.|AMERICAS|Y|5|1.7|15,000,000|3|< 5%
HSBC BANK PLC|EUROPE||5|2.3|20,000,000|2|75-95%
HSBC HOLDINGS PLC|EUROPE||11|8.7|75,000,000|9|25-75%
HUNGARY|SOVEREIGN|Y|0|0.0|2,500,000|0|> 95%
HUTCHISON WHAMPOA LIMITED|ASIA EX-JAPAN|Y|3|1.0|2,500,000|0|> 95%
HYUNDAI MOTOR COMPANY|ASIA EX-JAPAN||2|0.7|2,500,000|0|25-75%
IBERDROLA, S.A.|EUROPE||5|2.0|15,000,000|3|75-95%
ICELAND BONDCO PLC|EUROPE|Y|4|1.3|5,000,000|2|25-75%
ICICI BANK LIMITED|ASIA EX-JAPAN|Y|1|0.3|2,500,000|0|> 95%
IDBI BANK LIMITED|ASIA EX-JAPAN||1|0.3|2,500,000|0|> 95%
IHEARTCOMMUNICATIONS, INC.|AMERICAS|Y|4|3.7|2,500,000|2|< 5%
ILIAD HOLDING|EUROPE|Y|4|1.7|2,500,000|0|> 95%
IMPERIAL BRANDS PLC|EUROPE|Y|4|1.3|75,000,000|9|> 95%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|ASIA EX-JAPAN||7|5.0|12,500,000|1|> 95%
INEOS GROUP HOLDINGS S.A.|EUROPE||6|2.7|5,000,000|1|75-95%
ING BANK N.V.|EUROPE||2|0.7|7,500,000|2|75-95%
ING GROEP N.V.|EUROPE||9|7.3|50,000,000|7|75-95%
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT|EUROPE||1|0.3|10,000,000|0|> 95%
INTERNATIONAL BUSINESS MACHINES CORPORATION|AMERICAS|Y|8|3.7|15,000,000|3|< 5%
INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.|EUROPE||6|4.3|5,000,000|1|> 95%
INTERNATIONAL GAME TECHNOLOGY PLC|EUROPE||4|1.7|7,500,000|2|25-75%
INTERNATIONAL LEASE FINANCE CORPORATION|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
INTERNATIONAL PAPER COMPANY|AMERICAS|Y|3|1.3|7,500,000|2|< 5%
INTESA SANPAOLO SPA|EUROPE|Y|11|8.0|150,000,000|19|75-95%
INTRUM AB|EUROPE|Y|5|1.7|10,000,000|3|75-95%
IRELAND|SOVEREIGN||1|0.3|12,500,000|1|> 95%
IRON MOUNTAIN INCORPORATED|AMERICAS|Y|5|2.0|5,000,000|4|< 5%
ITOCHU CORPORATION|JAPAN||5|3.3|2,500,000|1|75-95%
ITV PLC|EUROPE|Y|6|3.0|17,500,000|5|75-95%
